product;timestamp;buyer;seller
VELVETFRUIT_EXTRACT;39400;Mark 22;Mark 49
VELVETFRUIT_EXTRACT;73400;Mark 22;Mark 49
VELVETFRUIT_EXTRACT;498200;Mark 22;Mark 49
VELVETFRUIT_EXTRACT;205000;Mark 49;Mark 22
VELVETFRUIT_EXTRACT;992900;Mark 49;Mark 22
VELVETFRUIT_EXTRACT;111600;Mark 49;Mark 22
VELVETFRUIT_EXTRACT;289600;Mark 49;Mark 22
VELVETFRUIT_EXTRACT;575300;Mark 49;Mark 22
VELVETFRUIT_EXTRACT;810500;Mark 22;Mark 49
VEV_5300;554600;Mark 14;Mark 22
VEV_5300;943900;Mark 14;Mark 22
VEV_5400;943900;Mark 14;Mark 22
