product,n_rows,mid_mean,mid_min,mid_max,mid_std,spread_mean,spread_median,sigma_tick,sigma_daily
HYDROGEL_PACK,30000,9990.806866666666,9891.0,10079.0,31.935213763359915,15.7208,16.0,0.0002171982131036826,0.021719821310368263
VELVETFRUIT_EXTRACT,30000,5250.0981,5198.0,5300.0,15.630415436563332,4.988133333333334,5.0,0.0002154668991795573,0.02154668991795573
VEV_4000,30000,1250.1098,1198.0,1300.0,15.647242733684388,20.813466666666667,21.0,0.0011337652870627524,0.11337652870627524
VEV_4500,30000,750.1095666666666,698.5,799.5,15.639930159458363,15.852666666666666,16.0,0.0016705924066036629,0.1670592406603663
VEV_5000,30000,255.0224,206.5,300.5,14.375585906517754,6.043333333333333,6.0,0.003861233136414293,0.3861233136414293
VEV_5100,30000,166.80545,125.0,205.5,12.742624184727562,4.295833333333333,4.0,0.00515401793169349,0.515401793169349
VEV_5200,30000,95.54876666666667,64.0,122.5,9.664217594591543,2.888133333333333,3.0,0.007224402861169666,0.7224402861169666
VEV_5300,30000,46.759933333333336,26.5,65.5,6.228141321483179,2.1068,2.0,0.010858494579158797,1.0858494579158797
VEV_5400,30000,15.951916666666667,6.5,27.0,3.429181870747838,1.3814333333333333,1.0,0.017724278762376314,1.7724278762376315
VEV_5500,30000,6.64135,2.5,12.5,1.7388490342844989,1.1497666666666666,1.0,0.028554276648219204,2.8554276648219203
VEV_6000,30000,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0
VEV_6500,30000,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0
