smile_window,product,ema_window,beta,product_pnl_3d,VEV_5000_pnl_3d,VEV_5100_pnl_3d,VEV_5200_pnl_3d,VEV_5300_pnl_3d
10,VEV_5000,10,-0.99,16178,16178,14334,7895,2264
10,VEV_5000,10,-0.985,16178,16178,14334,7895,2264
10,VEV_5000,10,-0.995,16178,16178,14334,7895,2264
10,VEV_5000,10,-0.98,16178,16178,14334,7895,2264
10,VEV_5000,20,-0.995,16423,16423,14334,7895,2264
10,VEV_5000,20,-0.985,16423,16423,14334,7895,2264
10,VEV_5000,20,-0.99,16423,16423,14334,7895,2264
10,VEV_5000,20,-1.0,16423,16423,14334,7895,2264
10,VEV_5000,20,-1.005,16362,16362,14334,7895,2264
10,VEV_5000,30,-0.99,16302,16302,14334,7895,2264
10,VEV_5000,30,-0.985,16302,16302,14334,7895,2264
10,VEV_5000,30,-0.995,16302,16302,14334,7895,2264
10,VEV_5000,40,-0.99,16280,16280,14334,7895,2264
10,VEV_5000,30,-1.0,16302,16302,14334,7895,2264
10,VEV_5000,40,-0.985,16280,16280,14334,7895,2264
10,VEV_5000,30,-1.005,16302,16302,14334,7895,2264
10,VEV_5000,40,-1.005,16280,16280,14334,7895,2264
10,VEV_5000,40,-1.0,16280,16280,14334,7895,2264
10,VEV_5000,50,-0.985,16143,16143,14334,7895,2264
10,VEV_5000,40,-0.995,16280,16280,14334,7895,2264
10,VEV_5000,50,-0.995,16143,16143,14334,7895,2264
10,VEV_5000,50,-0.99,16143,16143,14334,7895,2264
10,VEV_5000,50,-1.0,15795,15795,14334,7895,2264
10,VEV_5000,50,-1.005,15795,15795,14334,7895,2264
10,VEV_5000,60,-1.0,15849,15849,14334,7895,2264
10,VEV_5000,60,-0.985,16197,16197,14334,7895,2264
10,VEV_5000,60,-0.995,15849,15849,14334,7895,2264
10,VEV_5000,60,-0.99,16197,16197,14334,7895,2264
10,VEV_5100,20,-0.985,14221,15795,14221,7895,2264
10,VEV_5000,60,-1.005,15849,15849,14334,7895,2264
10,VEV_5100,20,-0.995,14221,15795,14221,7895,2264
10,VEV_5100,20,-0.99,14221,15795,14221,7895,2264
10,VEV_5100,20,-1.005,14129,15795,14129,7895,2264
10,VEV_5100,30,-0.99,14290,15795,14290,7895,2264
10,VEV_5100,30,-0.985,14290,15795,14290,7895,2264
10,VEV_5100,20,-1.0,14221,15795,14221,7895,2264
10,VEV_5100,30,-1.005,14334,15795,14334,7895,2264
10,VEV_5100,30,-1.0,14334,15795,14334,7895,2264
10,VEV_5100,40,-0.985,14334,15795,14334,7895,2264
10,VEV_5100,30,-0.995,14334,15795,14334,7895,2264
10,VEV_5100,40,-0.99,14334,15795,14334,7895,2264
10,VEV_5100,40,-1.0,14334,15795,14334,7895,2264
10,VEV_5100,40,-1.005,14334,15795,14334,7895,2264
10,VEV_5100,40,-0.995,14334,15795,14334,7895,2264
10,VEV_5100,50,-0.985,14334,15795,14334,7895,2264
10,VEV_5100,50,-1.0,14334,15795,14334,7895,2264
10,VEV_5100,50,-0.995,14334,15795,14334,7895,2264
10,VEV_5100,50,-0.99,14334,15795,14334,7895,2264
10,VEV_5100,60,-0.985,14320,15795,14320,7895,2264
10,VEV_5100,50,-1.005,14334,15795,14334,7895,2264
10,VEV_5100,60,-0.995,14320,15795,14320,7895,2264
10,VEV_5100,60,-0.99,14320,15795,14320,7895,2264
10,VEV_5200,20,-0.99,8348,15795,14334,8348,2264
10,VEV_5100,60,-1.0,14320,15795,14320,7895,2264
10,VEV_5200,20,-0.985,8368,15795,14334,8368,2264
10,VEV_5100,60,-1.005,14320,15795,14320,7895,2264
10,VEV_5200,20,-0.995,7985,15795,14334,7985,2264
10,VEV_5200,20,-1.0,7975,15795,14334,7975,2264
10,VEV_5200,30,-0.985,7895,15795,14334,7895,2264
10,VEV_5200,20,-1.005,7975,15795,14334,7975,2264
10,VEV_5200,30,-0.99,7895,15795,14334,7895,2264
10,VEV_5200,30,-1.0,7817,15795,14334,7817,2264
10,VEV_5200,30,-1.005,7797,15795,14334,7797,2264
10,VEV_5200,30,-0.995,7895,15795,14334,7895,2264
10,VEV_5200,40,-0.985,7887,15795,14334,7887,2264
10,VEV_5200,40,-0.995,7689,15795,14334,7689,2264
10,VEV_5200,40,-0.99,7887,15795,14334,7887,2264
10,VEV_5200,40,-1.0,7689,15795,14334,7689,2264
10,VEV_5200,40,-1.005,7689,15795,14334,7689,2264
10,VEV_5200,50,-0.99,7529,15795,14334,7529,2264
10,VEV_5200,50,-0.995,7529,15795,14334,7529,2264
10,VEV_5200,50,-0.985,7529,15795,14334,7529,2264
10,VEV_5200,50,-1.0,7513,15795,14334,7513,2264
10,VEV_5200,60,-0.99,7593,15795,14334,7593,2264
10,VEV_5200,50,-1.005,7513,15795,14334,7513,2264
10,VEV_5200,60,-0.985,7593,15795,14334,7593,2264
10,VEV_5200,60,-0.995,7577,15795,14334,7577,2264
10,VEV_5200,60,-1.005,7440,15795,14334,7440,2264
10,VEV_5300,20,-0.985,2264,15795,14334,7895,2264
10,VEV_5200,60,-1.0,7482,15795,14334,7482,2264
10,VEV_5300,20,-0.99,2264,15795,14334,7895,2264
10,VEV_5300,30,-0.985,2345,15795,14334,7895,2345
10,VEV_5300,20,-0.995,2264,15795,14334,7895,2264
10,VEV_5300,20,-1.0,2264,15795,14334,7895,2264
10,VEV_5300,20,-1.005,2264,15795,14334,7895,2264
10,VEV_5300,30,-1.0,2345,15795,14334,7895,2345
10,VEV_5300,30,-0.995,2345,15795,14334,7895,2345
10,VEV_5300,30,-1.005,2280,15795,14334,7895,2280
10,VEV_5300,30,-0.99,2345,15795,14334,7895,2345
10,VEV_5300,40,-1.0,2415,15795,14334,7895,2415
10,VEV_5300,40,-0.995,2415,15795,14334,7895,2415
10,VEV_5300,40,-0.99,2415,15795,14334,7895,2415
10,VEV_5300,40,-0.985,2415,15795,14334,7895,2415
10,VEV_5300,50,-0.995,2415,15795,14334,7895,2415
10,VEV_5300,50,-0.985,2415,15795,14334,7895,2415
10,VEV_5300,40,-1.005,2360,15795,14334,7895,2360
10,VEV_5300,50,-0.99,2415,15795,14334,7895,2415
10,VEV_5300,50,-1.0,2415,15795,14334,7895,2415
10,VEV_5300,60,-0.99,2417,15795,14334,7895,2417
10,VEV_5300,50,-1.005,2415,15795,14334,7895,2415
10,VEV_5300,60,-0.985,2417,15795,14334,7895,2417
10,VEV_5300,60,-1.005,2453,15795,14334,7895,2453
40,VEV_5000,20,-0.985,16536,16536,14308,7675,2429
10,VEV_5300,60,-0.995,2417,15795,14334,7895,2417
10,VEV_5300,60,-1.0,2417,15795,14334,7895,2417
40,VEV_5000,20,-0.995,16189,16189,14308,7675,2429
40,VEV_5000,20,-1.0,16189,16189,14308,7675,2429
40,VEV_5000,20,-1.005,16189,16189,14308,7675,2429
40,VEV_5000,20,-0.99,16536,16536,14308,7675,2429
40,VEV_5000,30,-1.0,16371,16371,14308,7675,2429
40,VEV_5000,30,-0.985,16371,16371,14308,7675,2429
40,VEV_5000,30,-0.99,16371,16371,14308,7675,2429
40,VEV_5000,30,-0.995,16371,16371,14308,7675,2429
40,VEV_5000,30,-1.005,16371,16371,14308,7675,2429
40,VEV_5000,40,-0.985,16516,16516,14308,7675,2429
40,VEV_5000,40,-0.99,16516,16516,14308,7675,2429
40,VEV_5000,40,-0.995,16516,16516,14308,7675,2429
40,VEV_5000,50,-0.99,16471,16471,14308,7675,2429
40,VEV_5000,40,-1.005,16516,16516,14308,7675,2429
40,VEV_5000,50,-0.985,16471,16471,14308,7675,2429
40,VEV_5000,40,-1.0,16516,16516,14308,7675,2429
40,VEV_5000,50,-1.005,16471,16471,14308,7675,2429
40,VEV_5000,50,-0.995,16471,16471,14308,7675,2429
40,VEV_5000,50,-1.0,16471,16471,14308,7675,2429
40,VEV_5000,60,-0.985,16423,16423,14308,7675,2429
40,VEV_5000,60,-0.99,16423,16423,14308,7675,2429
40,VEV_5000,60,-0.995,16423,16423,14308,7675,2429
40,VEV_5000,60,-1.005,16423,16423,14308,7675,2429
40,VEV_5000,60,-1.0,16423,16423,14308,7675,2429
40,VEV_5100,20,-0.995,14445,16471,14445,7675,2429
40,VEV_5100,20,-1.0,14445,16471,14445,7675,2429
40,VEV_5100,20,-0.99,14445,16471,14445,7675,2429
40,VEV_5100,20,-0.985,14447,16471,14447,7675,2429
40,VEV_5100,20,-1.005,14445,16471,14445,7675,2429
40,VEV_5100,30,-0.99,14455,16471,14455,7675,2429
40,VEV_5100,30,-0.985,14455,16471,14455,7675,2429
40,VEV_5100,30,-0.995,14455,16471,14455,7675,2429
40,VEV_5100,40,-0.99,14308,16471,14308,7675,2429
40,VEV_5100,30,-1.0,14455,16471,14455,7675,2429
40,VEV_5100,40,-0.985,14308,16471,14308,7675,2429
40,VEV_5100,30,-1.005,14455,16471,14455,7675,2429
40,VEV_5100,40,-0.995,14416,16471,14416,7675,2429
40,VEV_5100,50,-0.985,14308,16471,14308,7675,2429
40,VEV_5100,40,-1.005,14416,16471,14416,7675,2429
40,VEV_5100,40,-1.0,14416,16471,14416,7675,2429
40,VEV_5100,50,-0.995,14308,16471,14308,7675,2429
40,VEV_5100,50,-1.0,14416,16471,14416,7675,2429
40,VEV_5100,50,-1.005,14416,16471,14416,7675,2429
40,VEV_5100,50,-0.99,14308,16471,14308,7675,2429
40,VEV_5100,60,-0.985,14308,16471,14308,7675,2429
40,VEV_5100,60,-0.99,14308,16471,14308,7675,2429
40,VEV_5100,60,-1.0,14416,16471,14416,7675,2429
40,VEV_5100,60,-0.995,14308,16471,14308,7675,2429
40,VEV_5200,20,-0.985,7748,16471,14308,7748,2429
40,VEV_5100,60,-1.005,14416,16471,14416,7675,2429
40,VEV_5200,20,-0.995,7761,16471,14308,7761,2429
40,VEV_5200,20,-0.99,7748,16471,14308,7748,2429
40,VEV_5200,20,-1.005,7761,16471,14308,7761,2429
40,VEV_5200,20,-1.0,7761,16471,14308,7761,2429
40,VEV_5200,30,-0.985,7642,16471,14308,7642,2429
40,VEV_5200,30,-0.99,7642,16471,14308,7642,2429
40,VEV_5200,40,-0.985,7605,16471,14308,7605,2429
40,VEV_5200,30,-0.995,7675,16471,14308,7675,2429
40,VEV_5200,30,-1.005,7689,16471,14308,7689,2429
40,VEV_5200,30,-1.0,7675,16471,14308,7675,2429
40,VEV_5200,40,-0.99,7605,16471,14308,7605,2429
40,VEV_5200,40,-1.005,7563,16471,14308,7563,2429
40,VEV_5200,40,-0.995,7605,16471,14308,7605,2429
40,VEV_5200,40,-1.0,7605,16471,14308,7605,2429
40,VEV_5200,50,-1.0,7547,16471,14308,7547,2429
40,VEV_5200,50,-0.985,7557,16471,14308,7557,2429
40,VEV_5200,50,-0.995,7547,16471,14308,7547,2429
40,VEV_5200,50,-0.99,7557,16471,14308,7557,2429
40,VEV_5200,60,-0.985,7547,16471,14308,7547,2429
40,VEV_5200,60,-0.99,7570,16471,14308,7570,2429
40,VEV_5200,60,-0.995,7570,16471,14308,7570,2429
40,VEV_5200,50,-1.005,7547,16471,14308,7547,2429
40,VEV_5200,60,-1.0,7570,16471,14308,7570,2429
40,VEV_5200,60,-1.005,7570,16471,14308,7570,2429
40,VEV_5300,20,-0.99,2429,16471,14308,7675,2429
40,VEV_5300,20,-0.985,2429,16471,14308,7675,2429
40,VEV_5300,20,-1.005,2434,16471,14308,7675,2434
40,VEV_5300,20,-1.0,2429,16471,14308,7675,2429
40,VEV_5300,30,-0.985,2458,16471,14308,7675,2458
40,VEV_5300,20,-0.995,2429,16471,14308,7675,2429
40,VEV_5300,30,-0.995,2508,16471,14308,7675,2508
40,VEV_5300,30,-0.99,2508,16471,14308,7675,2508
40,VEV_5300,30,-1.0,2519,16471,14308,7675,2519
40,VEV_5300,30,-1.005,2519,16471,14308,7675,2519
40,VEV_5300,40,-1.0,2549,16471,14308,7675,2549
40,VEV_5300,40,-0.99,2549,16471,14308,7675,2549
40,VEV_5300,40,-0.985,2499,16471,14308,7675,2499
40,VEV_5300,40,-0.995,2549,16471,14308,7675,2549
40,VEV_5300,40,-1.005,2549,16471,14308,7675,2549
40,VEV_5300,50,-0.99,2519,16471,14308,7675,2519
40,VEV_5300,50,-0.995,2569,16471,14308,7675,2569
40,VEV_5300,50,-0.985,2519,16471,14308,7675,2519
40,VEV_5300,60,-0.985,2363,16471,14308,7675,2363
40,VEV_5300,60,-0.99,2363,16471,14308,7675,2363
40,VEV_5300,50,-1.0,2569,16471,14308,7675,2569
40,VEV_5300,50,-1.005,2569,16471,14308,7675,2569
40,VEV_5300,60,-1.0,2478,16471,14308,7675,2478
40,VEV_5300,60,-1.005,2478,16471,14308,7675,2478
40,VEV_5300,60,-0.995,2508,16471,14308,7675,2508
100,VEV_5000,20,-0.985,16205,16205,14380,7775,2410
100,VEV_5000,20,-1.0,16097,16097,14380,7775,2410
100,VEV_5000,20,-1.005,16097,16097,14380,7775,2410
100,VEV_5000,20,-0.99,16205,16205,14380,7775,2410
100,VEV_5000,20,-0.995,16205,16205,14380,7775,2410
100,VEV_5000,30,-0.99,16319,16319,14380,7775,2410
100,VEV_5000,30,-0.985,16319,16319,14380,7775,2410
100,VEV_5000,30,-1.0,16212,16212,14380,7775,2410
100,VEV_5000,30,-0.995,16319,16319,14380,7775,2410
100,VEV_5000,40,-0.99,16288,16288,14380,7775,2410
100,VEV_5000,40,-0.985,16288,16288,14380,7775,2410
100,VEV_5000,40,-0.995,16288,16288,14380,7775,2410
100,VEV_5000,30,-1.005,16212,16212,14380,7775,2410
100,VEV_5000,40,-1.005,16288,16288,14380,7775,2410
100,VEV_5000,40,-1.0,16288,16288,14380,7775,2410
100,VEV_5000,50,-0.985,16370,16370,14380,7775,2410
100,VEV_5000,50,-0.99,16370,16370,14380,7775,2410
100,VEV_5000,50,-1.0,16370,16370,14380,7775,2410
100,VEV_5000,60,-0.985,16410,16410,14380,7775,2410
100,VEV_5000,50,-1.005,16370,16370,14380,7775,2410
100,VEV_5000,50,-0.995,16370,16370,14380,7775,2410
100,VEV_5000,60,-0.995,16438,16438,14380,7775,2410
100,VEV_5000,60,-1.005,16438,16438,14380,7775,2410
100,VEV_5000,60,-0.99,16410,16410,14380,7775,2410
100,VEV_5000,60,-1.0,16438,16438,14380,7775,2410
100,VEV_5100,20,-0.995,14388,16370,14388,7775,2410
100,VEV_5100,20,-1.0,14388,16370,14388,7775,2410
100,VEV_5100,20,-0.985,14388,16370,14388,7775,2410
100,VEV_5100,20,-0.99,14388,16370,14388,7775,2410
100,VEV_5100,30,-0.99,14356,16370,14356,7775,2410
100,VEV_5100,20,-1.005,14430,16370,14430,7775,2410
100,VEV_5100,30,-0.995,14398,16370,14398,7775,2410
100,VEV_5100,30,-0.985,14356,16370,14356,7775,2410
100,VEV_5100,40,-0.99,14438,16370,14438,7775,2410
100,VEV_5100,40,-0.985,14382,16370,14382,7775,2410
100,VEV_5100,30,-1.0,14398,16370,14398,7775,2410
100,VEV_5100,30,-1.005,14398,16370,14398,7775,2410
100,VEV_5100,40,-0.995,14438,16370,14438,7775,2410
100,VEV_5100,50,-0.985,14324,16370,14324,7775,2410
100,VEV_5100,40,-1.005,14438,16370,14438,7775,2410
100,VEV_5100,40,-1.0,14438,16370,14438,7775,2410
100,VEV_5100,50,-0.995,14380,16370,14380,7775,2410
100,VEV_5100,50,-0.99,14380,16370,14380,7775,2410
100,VEV_5100,50,-1.005,14380,16370,14380,7775,2410
100,VEV_5100,50,-1.0,14380,16370,14380,7775,2410
100,VEV_5100,60,-0.985,14339,16370,14339,7775,2410
100,VEV_5100,60,-0.99,14339,16370,14339,7775,2410
100,VEV_5100,60,-0.995,14339,16370,14339,7775,2410
100,VEV_5100,60,-1.0,14339,16370,14339,7775,2410
100,VEV_5200,20,-0.995,7769,16370,14380,7769,2410
100,VEV_5100,60,-1.005,14339,16370,14339,7775,2410
100,VEV_5200,20,-0.985,7897,16370,14380,7897,2410
100,VEV_5200,20,-0.99,7911,16370,14380,7911,2410
100,VEV_5200,30,-0.985,7775,16370,14380,7775,2410
100,VEV_5200,20,-1.005,7769,16370,14380,7769,2410
100,VEV_5200,20,-1.0,7769,16370,14380,7769,2410
100,VEV_5200,30,-0.99,7775,16370,14380,7775,2410
100,VEV_5200,30,-1.0,7739,16370,14380,7739,2410
100,VEV_5200,30,-1.005,7739,16370,14380,7739,2410
100,VEV_5200,30,-0.995,7775,16370,14380,7775,2410
100,VEV_5200,40,-0.985,7611,16370,14380,7611,2410
100,VEV_5200,40,-0.995,7611,16370,14380,7611,2410
100,VEV_5200,40,-1.0,7611,16370,14380,7611,2410
100,VEV_5200,40,-0.99,7611,16370,14380,7611,2410
100,VEV_5200,40,-1.005,7622,16370,14380,7622,2410
100,VEV_5200,50,-0.995,7594,16370,14380,7594,2410
100,VEV_5200,50,-1.0,7594,16370,14380,7594,2410
100,VEV_5200,50,-0.99,7594,16370,14380,7594,2410
100,VEV_5200,50,-0.985,7636,16370,14380,7636,2410
100,VEV_5200,60,-0.985,7594,16370,14380,7594,2410
100,VEV_5200,60,-0.99,7594,16370,14380,7594,2410
100,VEV_5200,60,-0.995,7501,16370,14380,7501,2410
100,VEV_5200,50,-1.005,7426,16370,14380,7426,2410
100,VEV_5300,20,-0.99,2395,16370,14380,7775,2395
100,VEV_5300,20,-0.985,2410,16370,14380,7775,2410
100,VEV_5200,60,-1.005,7333,16370,14380,7333,2410
100,VEV_5200,60,-1.0,7333,16370,14380,7333,2410
100,VEV_5300,20,-0.995,2395,16370,14380,7775,2395
100,VEV_5300,20,-1.0,2395,16370,14380,7775,2395
100,VEV_5300,20,-1.005,2395,16370,14380,7775,2395
100,VEV_5300,30,-0.985,2505,16370,14380,7775,2505
100,VEV_5300,30,-0.99,2505,16370,14380,7775,2505
100,VEV_5300,30,-1.0,2505,16370,14380,7775,2505
100,VEV_5300,30,-0.995,2505,16370,14380,7775,2505
100,VEV_5300,30,-1.005,2505,16370,14380,7775,2505
100,VEV_5300,40,-1.0,2541,16370,14380,7775,2541
100,VEV_5300,40,-0.995,2541,16370,14380,7775,2541
100,VEV_5300,40,-0.99,2541,16370,14380,7775,2541
100,VEV_5300,40,-0.985,2551,16370,14380,7775,2551
100,VEV_5300,40,-1.005,2541,16370,14380,7775,2541
100,VEV_5300,50,-0.99,2541,16370,14380,7775,2541
100,VEV_5300,50,-0.995,2541,16370,14380,7775,2541
100,VEV_5300,50,-0.985,2551,16370,14380,7775,2551
100,VEV_5300,60,-0.985,2510,16370,14380,7775,2510
100,VEV_5300,50,-1.005,2486,16370,14380,7775,2486
100,VEV_5300,60,-0.99,2510,16370,14380,7775,2510
100,VEV_5300,50,-1.0,2541,16370,14380,7775,2541
100,VEV_5300,60,-0.995,2510,16370,14380,7775,2510
100,VEV_5300,60,-1.005,2455,16370,14380,7775,2455
100,VEV_5300,60,-1.0,2510,16370,14380,7775,2510
300,VEV_5000,20,-0.985,16095,16095,14254,7740,2419
300,VEV_5000,20,-0.99,16095,16095,14254,7740,2419
300,VEV_5000,20,-0.995,16095,16095,14254,7740,2419
300,VEV_5000,20,-1.0,16095,16095,14254,7740,2419
300,VEV_5000,20,-1.005,16095,16095,14254,7740,2419
300,VEV_5000,30,-0.99,16210,16210,14254,7740,2419
300,VEV_5000,30,-0.985,16210,16210,14254,7740,2419
300,VEV_5000,30,-1.0,16210,16210,14254,7740,2419
300,VEV_5000,30,-0.995,16210,16210,14254,7740,2419
300,VEV_5000,40,-0.99,16180,16180,14254,7740,2419
300,VEV_5000,40,-0.985,16180,16180,14254,7740,2419
300,VEV_5000,30,-1.005,16210,16210,14254,7740,2419
300,VEV_5000,40,-0.995,16180,16180,14254,7740,2419
300,VEV_5000,40,-1.0,16180,16180,14254,7740,2419
300,VEV_5000,50,-0.99,16303,16303,14254,7740,2419
300,VEV_5000,40,-1.005,16180,16180,14254,7740,2419
300,VEV_5000,50,-0.985,16303,16303,14254,7740,2419
300,VEV_5000,50,-1.0,16331,16331,14254,7740,2419
300,VEV_5000,50,-0.995,16303,16303,14254,7740,2419
300,VEV_5000,60,-0.985,16260,16260,14254,7740,2419
300,VEV_5000,50,-1.005,16331,16331,14254,7740,2419
300,VEV_5000,60,-1.005,16264,16264,14254,7740,2419
300,VEV_5000,60,-0.99,16264,16264,14254,7740,2419
