combined_timestamp,day,timestamp,product,S,K,voucher_price,tte_days,raw_iv
0,0,0,VEV_4000,5250.0,4000,1250.0,8.0,0.15625096875
0,0,0,VEV_4500,5250.0,4500,750.0,8.0,0.15625096875
0,0,0,VEV_5000,5250.0,5000,257.5,8.0,0.24352480573740273
0,0,0,VEV_5100,5250.0,5100,171.5,8.0,0.24005218591246666
0,0,0,VEV_5200,5250.0,5200,102.0,8.0,0.24090888071024336
0,0,0,VEV_5300,5250.0,5300,52.5,8.0,0.240288662600325
0,0,0,VEV_5400,5250.0,5400,23.0,8.0,0.23988127610335744
0,0,0,VEV_5500,5250.0,5500,8.5,8.0,0.23983891213966002
0,0,0,VEV_6000,5250.0,6000,0.5,8.0,0.3534110801737494
0,0,0,VEV_6500,5250.0,6500,0.5,8.0,0.5354544578623459
100,0,100,VEV_4500,5251.0,4500,751.0,7.9999,0.15625096875
100,0,100,VEV_5000,5251.0,5000,258.0,7.9999,0.2400259542715244
100,0,100,VEV_5100,5251.0,5100,172.5,7.9999,0.24097635669074938
100,0,100,VEV_5200,5251.0,5200,102.5,7.9999,0.2405280478516579
100,0,100,VEV_5300,5251.0,5300,53.0,7.9999,0.2406128270745438
100,0,100,VEV_5400,5251.0,5400,23.5,7.9999,0.24109616076587426
100,0,100,VEV_5500,5251.0,5500,8.5,7.9999,0.2391108853505988
100,0,100,VEV_6000,5251.0,6000,0.5,7.9999,0.35296130035460127
100,0,100,VEV_6500,5251.0,6500,0.5,7.9999,0.535023763167241
200,0,200,VEV_4000,5250.0,4000,1250.5,7.9998,0.6818879976008803
200,0,200,VEV_4500,5250.0,4500,750.0,7.9998,0.15625096875
200,0,200,VEV_5000,5250.0,5000,257.0,7.9998,0.23933213742761245
200,0,200,VEV_5100,5250.0,5100,172.0,7.9998,0.2423301859224608
200,0,200,VEV_5200,5250.0,5200,102.5,7.9998,0.24259138896507138
200,0,200,VEV_5300,5250.0,5300,52.5,7.9998,0.24029166629692633
200,0,200,VEV_5400,5250.0,5400,23.0,7.9998,0.2398842746704097
200,0,200,VEV_5500,5250.0,5500,8.5,7.9998,0.2398419102701548
200,0,200,VEV_6000,5250.0,6000,0.5,7.9998,0.35341549697017616
200,0,200,VEV_6500,5250.0,6500,0.5,7.9998,0.535461151742012
300,0,300,VEV_4000,5250.0,4000,1250.5,7.9997,0.6818922584008071
300,0,300,VEV_4500,5250.0,4500,750.0,7.9997,0.15625096875
300,0,300,VEV_5000,5250.0,5000,257.5,7.9997,0.24352937198196895
300,0,300,VEV_5100,5250.0,5100,172.0,7.9997,0.24233170055825445
300,0,300,VEV_5200,5250.0,5200,102.0,7.9997,0.24091339791486516
300,0,300,VEV_5300,5250.0,5300,53.0,7.9997,0.24195593700384396
300,0,300,VEV_5400,5250.0,5400,23.5,7.9997,0.24205783225875788
300,0,300,VEV_5500,5250.0,5500,8.5,7.9997,0.23984340926264272
300,0,300,VEV_6000,5250.0,6000,0.5,7.9997,0.35341770653254256
300,0,300,VEV_6500,5250.0,6500,0.5,7.9997,0.5354644998459982
400,0,400,VEV_4000,5250.0,4000,1250.5,7.9996,0.6818965192007338
400,0,400,VEV_4500,5250.0,4500,750.0,7.9996,0.15625096875
400,0,400,VEV_5000,5250.0,5000,257.5,7.9996,0.2435308941119974
400,0,400,VEV_5100,5250.0,5100,172.0,7.9996,0.24233321519404805
400,0,400,VEV_5200,5250.0,5200,102.0,7.9996,0.24091490367399224
400,0,400,VEV_5300,5250.0,5300,52.5,7.9996,0.24029467002990743
