product,horizon,n,alpha,beta,corr,t_beta,r2,mean_reversion_score
VEV_5000,1,29998,-0.00019066817069620038,-0.9436032881363617,-0.6865795518479813,-163.55184902146195,0.47139148101577555,0.9436032881363617
VEV_5000,2,29997,-0.00018939476185376314,-0.9411948788704269,-0.6853175379454589,-162.98181102913375,0.4696601278156253,0.9411948788704269
VEV_5000,5,29994,-0.00022708911810114232,-0.931267769980803,-0.6804672987418748,-160.81897307743102,0.4630357446570651,0.931267769980803
VEV_5000,10,29989,-0.00034262542101736067,-0.9299822359023662,-0.6786088721995517,-159.99055474407274,0.4605100014279472,0.9299822359023662
VEV_5000,20,29979,-0.0006011518427359064,-0.9380215528882413,-0.678976559985283,-160.124643888791,0.46100916900944766,0.9380215528882413
VEV_5100,1,29998,-0.0003997793009588602,-0.9352744426613805,-0.6832453780243936,-162.05900916968346,0.4668242465916971,0.9352744426613805
VEV_5100,2,29997,-0.00044198945910057104,-0.9417508468658734,-0.6852437880917064,-162.94874423423892,0.46955904911827184,0.9417508468658734
VEV_5100,5,29994,-0.0005660364625219126,-0.9379595838665368,-0.682449739606736,-161.69481726334308,0.4657376470893021,0.9379595838665368
VEV_5100,10,29989,-0.0007593271081813225,-0.9281826837745379,-0.6770690010104126,-159.31956300175344,0.45842243212923917,0.9281826837745379
VEV_5100,20,29979,-0.0012129294905590922,-0.9353744557326561,-0.677472472156985,-159.4684019873422,0.4589689505304966,0.9353744557326561
VEV_5200,1,29998,0.0003385121387266335,-0.9133574111172398,-0.674429313410367,-158.20203067575756,0.45485489878717855,0.9133574111172398
VEV_5200,2,29997,0.00035218347313138563,-0.9183993054156339,-0.6751357558321598,-158.50376443649566,0.4558082888030618,0.9183993054156339
VEV_5200,5,29994,0.0004055068028001571,-0.9240227112683724,-0.6742334202199747,-158.10722704330323,0.45459070494152476,0.9240227112683724
VEV_5200,10,29989,0.0005343119484623921,-0.9157235462786094,-0.665921503118237,-154.57456044445433,0.44345144831525196,0.9157235462786094
VEV_5200,20,29979,0.0007501411973214983,-0.9292047562880584,-0.6634797089868366,-153.53498386310508,0.4402053242372571,0.9292047562880584
VEV_5300,1,29998,0.00042031008976038556,-0.8666694962451321,-0.6552018431284563,-150.2099959730488,0.42928945523892625,0.8666694962451321
VEV_5300,2,29997,0.00047963399099382664,-0.8919052146553607,-0.6626385846948389,-153.23378228624836,0.43908989392637954,0.8919052146553607
VEV_5300,5,29994,0.0006448092821073969,-0.8997795776522298,-0.6595257802563105,-151.94988360010893,0.4349742548226969,0.8997795776522298
VEV_5300,10,29989,0.000923108919877607,-0.8959468950979729,-0.6485979836367863,-147.56474010648708,0.4206793443777065,0.8959468950979729
VEV_5300,20,29979,0.00148571608621421,-0.8958870670443831,-0.6317891293493719,-141.11913711248377,0.3991575039640375,0.8958870670443831
