product,ema_window,horizon,n,alpha,beta,corr,t_beta,r2,mean_reversion_score
VEV_5000,15,1,29998,-0.00015598600180074593,-0.9310049796798286,-0.6819856576154293,-161.499958934293,0.46510443719314865,0.9310049796798286
VEV_5000,20,1,29998,-0.00019066817069620038,-0.9436032881363617,-0.6865795518479813,-163.55184902146195,0.47139148101577555,0.9436032881363617
VEV_5000,25,1,29998,-0.00022924925763144949,-0.9505242671256672,-0.6890910873737784,-164.68922437912138,0.47484652669797556,0.9505242671256672
VEV_5000,30,1,29998,-0.00027150863751441805,-0.9545260785291032,-0.6905396795380219,-165.35035875000113,0.4768450490164742,0.9545260785291032
VEV_5000,35,1,29998,-0.00031694709133154735,-0.9568334069650289,-0.6913739300360043,-165.7328319425157,0.4779979111334314,0.9568334069650289
VEV_5000,40,1,29998,-0.0003650717567365739,-0.9580726948208813,-0.6918219649257639,-165.9387630761472,0.4786176311537442,0.9580726948208813
VEV_5000,45,1,29998,-0.0004154624463199823,-0.9585976818835311,-0.6920120784542458,-166.02625633042305,0.4788807167265662,0.9585976818835311
VEV_5000,50,1,29998,-0.00046777126110923327,-0.9586233408911461,-0.6920220062409949,-166.03082707533846,0.47889445712181156,0.9586233408911461
VEV_5000,55,1,29998,-0.0005217063003512266,-0.9582879538893971,-0.6919016414116743,-165.97542339299008,0.47872788138816935,0.9582879538893971
VEV_5000,60,1,29998,-0.0005770152687978391,-0.9576845967157461,-0.691684510045962,-165.87554539880387,0.47842746143752246,0.9576845967157461
VEV_5000,65,1,29998,-0.0006334731695349552,-0.9568782810333681,-0.6913939997594895,-165.7420487818498,0.47802566290342474,0.9568782810333681
VEV_5000,15,2,29997,-0.00015485103353222708,-0.9285625905914604,-0.6806835933124304,-160.92225843097006,0.4633301542047227,0.9285625905914604
VEV_5000,20,2,29997,-0.00018939476185376314,-0.9411948788704269,-0.6853175379454589,-162.98181102913375,0.4696601278156253,0.9411948788704269
VEV_5000,25,2,29997,-0.0002281988521664558,-0.9481402569358683,-0.6878553658228689,-164.12548081420522,0.47314500429131257,0.9481402569358683
VEV_5000,30,2,29997,-0.0002708362525954085,-0.9521611151439678,-0.6893229488444782,-164.79204465047573,0.4751661278036463,0.9521611151439678
VEV_5000,35,2,29997,-0.0003167074048811637,-0.9544842038350827,-0.6901718169256139,-165.17935508354535,0.4763371368784022,0.9544842038350827
VEV_5000,40,2,29997,-0.00036527148271051844,-0.9557370752365933,-0.6906316187217417,-165.38969055381062,0.476972032778213,0.9557370752365933
VEV_5000,45,2,29997,-0.00041608578294862847,-0.9562741263359524,-0.6908315305127452,-165.48125934828116,0.4772482035505813,0.9562741263359524
VEV_5000,50,2,29997,-0.00046879225108714895,-0.956310749187145,-0.6908498408811331,-165.48964996683534,0.47727350264548696,0.956310749187145
VEV_5000,55,2,29997,-0.0005230948269319348,-0.9559855080332893,-0.6907368099647239,-165.43786393762213,0.4771173406402408,0.9559855080332893
VEV_5000,60,2,29997,-0.0005787399405258245,-0.9553916760300968,-0.6905262179204062,-165.34144133026888,0.4768264576354607,0.9553916760300968
VEV_5000,65,2,29997,-0.0006355026877462046,-0.9545944067485795,-0.6902416340289769,-165.21126815072233,0.47643351334699147,0.9545944067485795
VEV_5000,15,3,29996,-0.00016932849639584433,-0.929488668210783,-0.6806540868655847,-160.90657874971322,0.46328998596682236,0.929488668210783
