day,timestamp,global_timestamp,product,K,S,V,T_days,raw_iv
0,0,0,VEV_4000,4000,5250.0,1250.0,8.0,1.0000000000000002e-06
0,100,100,VEV_4000,4000,5250.5,1250.5,7.9999,1.0000000000000002e-06
0,200,200,VEV_4000,4000,5250.5,1250.5,7.9998,1.0000000000000002e-06
0,300,300,VEV_4000,4000,5250.5,1250.5,7.9997,1.0000000000000002e-06
0,400,400,VEV_4000,4000,5250.5,1250.5,7.9996,1.0000000000000002e-06
0,500,500,VEV_4000,4000,5249.5,1249.5,7.999499999999999,1.0000000000000002e-06
0,600,600,VEV_4000,4000,5248.5,1248.5,7.9994,1.0000000000000002e-06
0,700,700,VEV_4000,4000,5248.5,1248.5,7.9993,1.0000000000000002e-06
0,800,800,VEV_4000,4000,5247.5,1247.5,7.999200000000001,1.0000000000000002e-06
0,900,900,VEV_4000,4000,5246.5,1246.5,7.9991,1.0000000000000002e-06
0,1100,1100,VEV_4000,4000,5248.5,1248.5,7.998900000000001,1.0000000000000002e-06
0,1200,1200,VEV_4000,4000,5248.5,1248.5,7.9988,1.0000000000000002e-06
0,1300,1300,VEV_4000,4000,5247.5,1247.5,7.9987,1.0000000000000002e-06
0,1400,1400,VEV_4000,4000,5247.5,1247.5,7.998600000000001,1.0000000000000002e-06
0,1500,1500,VEV_4000,4000,5246.5,1246.5,7.9985,1.0000000000000002e-06
0,1600,1600,VEV_4000,4000,5246.0,1246.5,7.9984,0.6802572994555716
0,1700,1700,VEV_4000,4000,5246.0,1246.0,7.9982999999999995,1.0000000000000002e-06
0,1800,1800,VEV_4000,4000,5246.5,1246.5,7.9982,1.0000000000000002e-06
0,2000,2000,VEV_4000,4000,5247.5,1247.5,7.997999999999999,1.0000000000000002e-06
0,2300,2300,VEV_4000,4000,5247.5,1247.5,7.997699999999999,1.0000000000000002e-06
0,2400,2400,VEV_4000,4000,5248.5,1248.5,7.9976,1.0000000000000002e-06
0,2500,2500,VEV_4000,4000,5247.5,1247.5,7.9975,1.0000000000000002e-06
0,2600,2600,VEV_4000,4000,5246.5,1246.5,7.997400000000001,1.0000000000000002e-06
0,2700,2700,VEV_4000,4000,5246.5,1246.5,7.9973,1.0000000000000002e-06
0,2800,2800,VEV_4000,4000,5245.5,1245.5,7.9972,1.0000000000000002e-06
0,3000,3000,VEV_4000,4000,5245.5,1245.5,7.997,1.0000000000000002e-06
0,3100,3100,VEV_4000,4000,5246.5,1246.5,7.9969,1.0000000000000002e-06
0,3200,3200,VEV_4000,4000,5245.5,1245.5,7.9968,1.0000000000000002e-06
0,3300,3300,VEV_4000,4000,5245.0,1245.5,7.9967,0.6799066835892582
0,3400,3400,VEV_4000,4000,5244.5,1244.5,7.9966,1.0000000000000002e-06
0,3500,3500,VEV_4000,4000,5244.5,1244.5,7.996499999999999,1.0000000000000002e-06
0,3600,3600,VEV_4000,4000,5243.5,1243.5,7.996400000000001,1.0000000000000002e-06
0,3700,3700,VEV_4000,4000,5244.5,1244.5,7.9963,1.0000000000000002e-06
0,3800,3800,VEV_4000,4000,5242.5,1244.5,7.996199999999999,0.7961994303100188
0,3900,3900,VEV_4000,4000,5243.0,1243.5,7.9961,0.6790859837467076
0,4000,4000,VEV_4000,4000,5242.0,1242.0,7.996,1.0000000000000002e-06
0,4100,4100,VEV_4000,4000,5241.5,1241.5,7.995899999999999,1.0000000000000002e-06
0,4200,4200,VEV_4000,4000,5241.0,1241.0,7.9958,1.0000000000000002e-06
0,4300,4300,VEV_4000,4000,5241.5,1241.5,7.9957,1.0000000000000002e-06
0,4400,4400,VEV_4000,4000,5239.5,1239.5,7.9956000000000005,1.0000000000000002e-06
0,4500,4500,VEV_4000,4000,5239.0,1239.0,7.9955,1.0000000000000002e-06
0,4600,4600,VEV_4000,4000,5239.5,1239.5,7.9954,1.0000000000000002e-06
0,4700,4700,VEV_4000,4000,5238.0,1238.0,7.9953,1.0000000000000002e-06
0,4800,4800,VEV_4000,4000,5238.5,1238.5,7.9952,1.0000000000000002e-06
0,4900,4900,VEV_4000,4000,5237.5,1237.5,7.9951,1.0000000000000002e-06
