z,f_z,f_prime,f_z_minus_1,f_z_plus_1,speed_z_minus_1,speed_z,speed_z_plus_1,x_z_minus_1,y_z_minus_1,S_z_minus_1,x_z,y_z,S_z,x_z_plus_1,y_z_plus_1,S_z_plus_1,margin_vs_prev,margin_vs_next,margin_vs_best_neighbor
1,0.05,0.002,0.048,0.052,0.148,0.15,0.152,23,77,59864.827680831004,23,76,59903.390273909565,23,75,59903.39027390955,38.562593078560894,1.4551915228366852e-11,1.4551915228366852e-11
1,0.051,0.002,0.049,0.053,0.149,0.151,0.153,23,77,60607.15759759338,23,76,60636.079542402294,23,75,60626.43889413265,28.921944808913395,9.6406482696475,9.6406482696475
1,0.052,0.002,0.05,0.054,0.15,0.152,0.154,23,77,61349.48751435576,23,76,61368.76881089501,23,75,61349.48751435573,19.281296539251343,19.281296539280447,19.281296539251343
1,0.053,0.002,0.051,0.055,0.151,0.153,0.155,23,77,62091.81743111811,23,76,62101.45807938774,23,75,62072.536134578826,9.640648269632948,28.921944808913395,9.640648269632948
1,0.054,0.002,0.052,0.056,0.152,0.154,0.156,23,77,62834.14734788047,23,76,62834.147347880484,23,75,62795.58475480192,1.4551915228366852e-11,38.562593078560894,1.4551915228366852e-11
1,0.125,0.003,0.122,0.128,0.222,0.225,0.228,23,77,114797.2415212465,23,76,114855.08541086435,23,75,114855.08541086433,57.84388961785589,2.9103830456733704e-11,2.9103830456733704e-11
1,0.126,0.003,0.123,0.129,0.223,0.226,0.229,23,77,115539.57143800886,23,76,115587.77467935707,23,75,115578.13403108742,48.203241348208394,9.6406482696475,9.6406482696475
1,0.127,0.003,0.124,0.13,0.224,0.227,0.23,23,77,116281.90135477125,23,76,116320.46394784978,23,75,116301.18265131052,38.56259307853179,19.281296539265895,19.281296539265895
1,0.128,0.003,0.125,0.131,0.225,0.228,0.231,23,77,117024.23127153362,23,76,117053.15321634253,23,75,117024.23127153362,28.921944808913395,28.921944808913395,28.921944808913395
1,0.129,0.003,0.126,0.132,0.226,0.229,0.232,23,77,117766.56118829601,23,76,117785.84248483524,23,75,117747.27989175668,19.28129653923679,38.562593078560894,19.28129653923679
