day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
-1,0,DJEMBES,13450,55,,,,,13451,55,,,,,13450.5
-1,100,DJEMBES,13449,57,,,,,13451,57,,,,,13450
-1,200,DJEMBES,13450,20,13449,31,,,13451,51,,,,,13450.5
-1,300,DJEMBES,13449,73,,,,,13451,73,,,,,13450
-1,400,DJEMBES,13452,78,,,,,13453,78,,,,,13452.5
-1,500,DJEMBES,13453,54,,,,,13454,54,,,,,13453.5
-1,600,DJEMBES,13456,34,13455,47,,,13457,77,,,,,13456.5
-1,700,DJEMBES,13454,67,,,,,13455,67,,,,,13454.5
-1,800,DJEMBES,13457,64,,,,,13458,64,,,,,13457.5
-1,900,DJEMBES,13457,63,,,,,13458,25,13459,31,,,13457.5
-1,1000,DJEMBES,13456,62,,,,,13457,25,13458,37,,,13456.5
-1,1100,DJEMBES,13455,21,13454,50,,,13456,71,,,,,13455.5
-1,1200,DJEMBES,13454,77,,,,,13456,77,,,,,13455
-1,1300,DJEMBES,13454,62,,,,,13456,62,,,,,13455
-1,1400,DJEMBES,13458,24,13457,40,,,13459,64,,,,,13458.5
-1,1500,DJEMBES,13457,52,,,,,13459,52,,,,,13458
-1,1600,DJEMBES,13457,68,,,,,13459,68,,,,,13458
-1,1700,DJEMBES,13454,46,,,,,13455,46,,,,,13454.5
-1,1800,DJEMBES,13453,75,,,,,13454,75,,,,,13453.5
-1,1900,DJEMBES,13450,63,,,,,13451,17,13452,46,,,13450.5
-1,2000,DJEMBES,13449,68,,,,,13451,65,,,,,13450
-1,2100,DJEMBES,13446,22,13445,44,,,13447,66,,,,,13446.5
-1,2200,DJEMBES,13444,55,,,,,13445,55,,,,,13444.5
-1,2300,DJEMBES,13444,65,,,,,13445,25,13446,40,,,13444.5
-1,2400,DJEMBES,13445,71,,,,,13446,71,,,,,13445.5
-1,2500,DJEMBES,13446,52,,,,,13447,52,,,,,13446.5
-1,2600,DJEMBES,13446,59,,,,,13448,59,,,,,13447
-1,2700,DJEMBES,13446,65,,,,,13447,65,,,,,13446.5
-1,2800,DJEMBES,13445,78,,,,,13446,78,,,,,13445.5
-1,2900,DJEMBES,13445,19,13444,35,,,13446,54,,,,,13445.5
-1,3000,DJEMBES,13444,67,,,,,13445,29,13446,38,,,13444.5
-1,3100,DJEMBES,13444,59,,,,,13446,59,,,,,13445
-1,3200,DJEMBES,13445,58,,,,,13446,25,13447,33,,,13445.5
-1,3300,DJEMBES,13446,75,,,,,13447,27,13448,48,,,13446.5
-1,3400,DJEMBES,13446,60,,,,,13447,26,13448,34,,,13446.5
-1,3500,DJEMBES,13447,49,,,,,13448,49,,,,,13447.5
-1,3600,DJEMBES,13448,68,,,,,13450,68,,,,,13449
-1,3700,DJEMBES,13448,51,,,,,13450,51,,,,,13449
-1,3800,DJEMBES,13448,16,13447,42,,,13449,58,,,,,13448.5
-1,3900,DJEMBES,13447,64,,,,,13449,64,,,,,13448
-1,4000,DJEMBES,13447,59,,,,,13448,28,13449,31,,,13447.5
-1,4100,DJEMBES,13448,48,,,,,13450,48,,,,,13449
-1,4200,DJEMBES,13447,67,,,,,13449,67,,,,,13448
-1,4300,DJEMBES,13446,77,,,,,13448,77,,,,,13447
-1,4400,DJEMBES,13447,49,,,,,13448,15,13449,34,,,13447.5
-1,4500,DJEMBES,13446,59,,,,,13448,59,,,,,13447
-1,4600,DJEMBES,13446,15,13445,31,,,13447,46,,,,,13446.5
-1,4700,DJEMBES,13445,50,,,,,13447,50,,,,,13446
-1,4800,DJEMBES,13445,77,,,,,13447,77,,,,,13446
-1,4900,DJEMBES,13446,60,,,,,13447,25,13448,35,,,13446.5
-1,5000,DJEMBES,13447,52,,,,,13448,52,,,,,13447.5
-1,5100,DJEMBES,13446,69,,,,,13447,28,13448,41,,,13446.5
-1,5200,DJEMBES,13447,71,,,,,13448,71,,,,,13447.5
-1,5300,DJEMBES,13446,17,13445,47,,,13447,64,,,,,13446.5
-1,5400,DJEMBES,13444,54,,,,,13445,16,13446,38,,,13444.5
-1,5500,DJEMBES,13443,72,,,,,13445,72,,,,,13444
-1,5600,DJEMBES,13444,54,,,,,13445,54,,,,,13444.5
-1,5700,DJEMBES,13445,74,,,,,13447,74,,,,,13446
-1,5800,DJEMBES,13446,56,,,,,13448,56,,,,,13447
-1,5900,DJEMBES,13446,63,,,,,13448,63,,,,,13447
-1,6000,DJEMBES,13449,26,13448,31,,,13450,57,,,,,13449.5
-1,6100,DJEMBES,13449,48,,,,,13450,48,,,,,13449.5
-1,6200,DJEMBES,13449,60,,,,,13450,60,,,,,13449.5
-1,6300,DJEMBES,13451,57,,,,,13452,25,13453,32,,,13451.5
-1,6400,DJEMBES,13451,64,,,,,13452,64,,,,,13451.5
-1,6500,DJEMBES,13451,56,,,,,13452,56,,,,,13451.5
-1,6600,DJEMBES,13451,25,13450,34,,,13452,59,,,,,13451.5
-1,6700,DJEMBES,13449,63,,,,,13450,63,,,,,13449.5
-1,6800,DJEMBES,13449,62,,,,,13450,25,13451,37,,,13449.5
-1,6900,DJEMBES,13449,58,,,,,13450,58,,,,,13449.5
-1,7000,DJEMBES,13448,16,13447,37,,,13449,53,,,,,13448.5
-1,7100,DJEMBES,13447,63,,,,,13448,63,,,,,13447.5
-1,7200,DJEMBES,13447,65,,,,,13448,25,13449,40,,,13447.5
-1,7300,DJEMBES,13448,55,,,,,13449,55,,,,,13448.5
-1,7400,DJEMBES,13447,16,13446,37,,,13448,53,,,,,13447.5
-1,7500,DJEMBES,13447,16,13446,35,,,13448,51,,,,,13447.5
-1,7600,DJEMBES,13446,49,,,,,13448,49,,,,,13447
-1,7700,DJEMBES,13445,60,,,,,13447,60,,,,,13446
-1,7800,DJEMBES,13446,46,,,,,13447,15,13448,31,,,13446.5
-1,7900,DJEMBES,13446,57,,,,,13447,57,,,,,13446.5
-1,8000,DJEMBES,13446,70,,,,,13447,70,,,,,13446.5
-1,8100,DJEMBES,13445,63,,,,,13447,63,,,,,13446
-1,8200,DJEMBES,13446,51,,,,,13447,17,13448,34,,,13446.5
-1,8300,DJEMBES,13446,57,,,,,13448,57,,,,,13447
-1,8400,DJEMBES,13447,28,13446,36,,,13448,64,,,,,13447.5
-1,8500,DJEMBES,13447,56,,,,,13449,56,,,,,13448
-1,8600,DJEMBES,13448,29,13447,40,,,13449,69,,,,,13448.5
-1,8700,DJEMBES,13447,63,,,,,13448,29,13449,34,,,13447.5
-1,8800,DJEMBES,13447,65,,,,,13448,65,,,,,13447.5
-1,8900,DJEMBES,13447,54,,,,,13448,21,13449,33,,,13447.5
-1,9000,DJEMBES,13448,77,,,,,13449,77,,,,,13448.5
-1,9100,DJEMBES,13448,60,,,,,13449,60,,,,,13448.5
-1,9200,DJEMBES,13448,78,,,,,13450,78,,,,,13449
-1,9300,DJEMBES,13449,17,13448,30,,,13450,47,,,,,13449.5
-1,9400,DJEMBES,13449,56,,,,,13450,56,,,,,13449.5
-1,9500,DJEMBES,13449,64,,,,,13450,30,13451,34,,,13449.5
-1,9600,DJEMBES,13449,55,,,,,13450,21,13451,34,,,13449.5
-1,9700,DJEMBES,13451,71,,,,,13452,66,,,,,13451.5
-1,9800,DJEMBES,13450,54,,,,,13451,54,,,,,13450.5
-1,9900,DJEMBES,13450,53,,,,,13451,53,,,,,13450.5
-1,10000,DJEMBES,13450,54,,,,,13451,54,,,,,13450.5
-1,10100,DJEMBES,13450,58,,,,,13451,24,13452,34,,,13450.5
