day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
-1,0,PICNIC_BASKET1,59284,20,59283,18,,,59294,2,59295,36,,,59289
-1,100,PICNIC_BASKET1,59282,17,59281,20,,,59292,2,59293,15,59294,20,59287
-1,200,PICNIC_BASKET1,59288,13,59287,20,,,59299,13,59300,20,,,59293.5
-1,300,PICNIC_BASKET1,59289,2,59288,17,59287,24,59298,2,59299,17,59300,24,59293.5
-1,400,PICNIC_BASKET1,59290,2,59289,15,59288,28,59294,6,59299,2,59300,15,59292
-1,500,PICNIC_BASKET1,59304,6,59295,13,59294,17,59306,13,59307,17,,,59305
-1,600,PICNIC_BASKET1,59304,6,59299,14,59298,30,59310,14,59311,30,,,59307
-1,700,PICNIC_BASKET1,59304,2,59294,12,59293,19,59305,12,59306,19,,,59304.5
-1,800,PICNIC_BASKET1,59302,1,59301,13,59300,21,59311,1,59312,13,59313,21,59306.5
-1,900,PICNIC_BASKET1,59309,14,59308,25,,,59319,1,59320,13,59321,25,59314
-1,1000,PICNIC_BASKET1,59319,16,59318,25,,,59330,16,59331,25,,,59324.5
-1,1100,PICNIC_BASKET1,59318,2,59317,15,59316,21,59327,2,59328,15,59329,21,59322.5
-1,1200,PICNIC_BASKET1,59317,16,59316,30,,,59328,16,59329,30,,,59322.5
-1,1300,PICNIC_BASKET1,59315,1,59314,17,59313,15,59324,1,59325,17,59326,15,59319.5
-1,1400,PICNIC_BASKET1,59324,1,59323,17,59322,24,59333,1,59334,17,59335,24,59328.5
-1,1500,PICNIC_BASKET1,59321,12,59320,22,,,59332,12,59333,22,,,59326.5
-1,1600,PICNIC_BASKET1,59323,37,,,,,59335,37,,,,,59329
-1,1700,PICNIC_BASKET1,59316,2,59315,29,,,59326,2,59327,29,,,59321
-1,1800,PICNIC_BASKET1,59318,1,59317,20,59316,27,59327,1,59328,20,59329,27,59322.5
-1,1900,PICNIC_BASKET1,59316,17,59315,17,,,59326,1,59327,16,59328,17,59321
-1,2000,PICNIC_BASKET1,59314,2,59313,14,59312,28,59324,16,59325,28,,,59319
-1,2100,PICNIC_BASKET1,59304,2,59303,15,59302,22,59313,2,59314,15,59315,22,59308.5
-1,2200,PICNIC_BASKET1,59300,1,59299,40,,,59310,1,59311,40,,,59305
-1,2300,PICNIC_BASKET1,59297,2,59296,15,59295,25,59301,2,59306,2,59307,15,59299
-1,2400,PICNIC_BASKET1,59296,19,59295,24,,,59307,19,59308,24,,,59301.5
-1,2500,PICNIC_BASKET1,59296,1,59295,18,59294,16,59305,1,59306,18,59307,16,59300.5
