day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
-2,0,RAINFOREST_RESIN,9996,1,9995,25,,,10004,1,10005,25,,,10000
-2,100,RAINFOREST_RESIN,10000,5,9995,20,,,10005,20,,,,,10002.5
-2,200,RAINFOREST_RESIN,9996,1,9995,30,,,10004,1,10005,30,,,10000
-2,300,RAINFOREST_RESIN,9996,1,9995,26,,,10004,1,10005,26,,,10000
-2,400,RAINFOREST_RESIN,9995,20,,,,,9998,3,10002,9,10005,20,9996.5
-2,500,RAINFOREST_RESIN,9995,30,,,,,10005,30,,,,,10000
-2,600,RAINFOREST_RESIN,9995,30,,,,,10005,30,,,,,10000
-2,700,RAINFOREST_RESIN,9998,5,9996,1,9995,27,10004,1,10005,27,,,10001
-2,800,RAINFOREST_RESIN,9996,2,9995,21,,,10004,2,10005,21,,,10000
-2,900,RAINFOREST_RESIN,9995,30,,,,,10005,30,,,,,10000
-2,1000,RAINFOREST_RESIN,10002,1,9996,2,9995,22,10004,2,10005,22,,,10003
-2,1100,RAINFOREST_RESIN,9998,3,9996,1,9995,25,10004,1,10005,25,,,10001
-2,1200,RAINFOREST_RESIN,9998,6,9996,1,9995,27,10004,1,10005,27,,,10001
-2,1300,RAINFOREST_RESIN,10000,3,9995,23,,,10005,23,,,,,10002.5
-2,1400,RAINFOREST_RESIN,9995,26,,,,,9998,3,10005,26,,,9996.5
-2,1500,RAINFOREST_RESIN,9996,2,9995,25,,,10004,2,10005,25,,,10000
-2,1600,RAINFOREST_RESIN,9996,1,9995,23,,,10004,1,10005,23,,,10000
-2,1700,RAINFOREST_RESIN,9995,28,,,,,10002,6,10005,28,,,9998.5
-2,1800,RAINFOREST_RESIN,9998,10,9995,24,,,10005,24,,,,,10001.5
-2,1900,RAINFOREST_RESIN,9996,1,9995,25,,,10004,1,10005,25,,,10000
-2,2000,RAINFOREST_RESIN,9996,1,9995,30,,,10004,1,10005,30,,,10000
-2,2100,RAINFOREST_RESIN,9996,2,9995,20,,,10004,2,10005,20,,,10000
-2,2200,RAINFOREST_RESIN,10002,1,9996,1,9995,25,10004,1,10005,25,,,10003
-2,2300,RAINFOREST_RESIN,9996,2,9995,28,,,10004,2,10005,28,,,10000
-2,2400,RAINFOREST_RESIN,9995,30,,,,,10005,30,,,,,10000
-2,2500,RAINFOREST_RESIN,9995,21,,,,,9998,1,10005,21,,,9996.5
-2,2600,RAINFOREST_RESIN,9996,1,9995,21,,,10004,1,10005,21,,,10000
-2,2700,RAINFOREST_RESIN,9996,1,9995,26,,,10002,8,10004,1,10005,26,9999
-2,2800,RAINFOREST_RESIN,9995,28,,,,,10005,28,,,,,10000
-2,2900,RAINFOREST_RESIN,9995,30,,,,,10005,30,,,,,10000
-2,3000,RAINFOREST_RESIN,10002,3,9996,2,9995,26,10004,2,10005,26,,,10003
-2,3100,RAINFOREST_RESIN,9996,2,9995,23,,,10004,2,10005,23,,,10000
-2,3200,RAINFOREST_RESIN,9996,2,9995,26,,,10004,2,10005,26,,,10000
-2,3300,RAINFOREST_RESIN,9995,20,,,,,10005,20,,,,,10000
-2,3400,RAINFOREST_RESIN,9996,1,9995,22,,,10004,1,10005,22,,,10000
-2,3500,RAINFOREST_RESIN,9996,2,9995,29,,,10004,2,10005,29,,,10000
-2,3600,RAINFOREST_RESIN,9998,3,9995,26,,,10005,26,,,,,10001.5
-2,3700,RAINFOREST_RESIN,9996,2,9995,25,,,10004,2,10005,25,,,10000
-2,3800,RAINFOREST_RESIN,9995,27,,,,,10002,7,10005,27,,,9998.5
-2,3900,RAINFOREST_RESIN,9996,1,9995,25,,,10004,1,10005,25,,,10000
-2,4000,RAINFOREST_RESIN,9998,2,9995,27,,,10005,27,,,,,10001.5
-2,4100,RAINFOREST_RESIN,9998,8,9995,28,,,10005,28,,,,,10001.5
-2,4200,RAINFOREST_RESIN,9998,6,9996,2,9995,23,10004,2,10005,23,,,10001
-2,4300,RAINFOREST_RESIN,9995,26,,,,,10005,26,,,,,10000
-2,4400,RAINFOREST_RESIN,9998,8,9996,1,9995,28,10004,1,10005,28,,,10001
-2,4500,RAINFOREST_RESIN,9998,1,9996,1,9995,29,10004,1,10005,29,,,10001
-2,4600,RAINFOREST_RESIN,9996,2,9995,29,,,10004,2,10005,29,,,10000
-2,4700,RAINFOREST_RESIN,9996,1,9995,29,,,10002,3,10004,1,10005,29,9999
-2,4800,RAINFOREST_RESIN,9996,2,9995,24,,,10002,6,10004,2,10005,24,9999
-2,4900,RAINFOREST_RESIN,10002,1,9996,2,9995,22,10004,2,10005,22,,,10003
-2,5000,RAINFOREST_RESIN,9996,1,9995,20,,,10002,1,10004,1,10005,20,9999
-2,5100,RAINFOREST_RESIN,9996,2,9995,29,,,10004,2,10005,29,,,10000
-2,5200,RAINFOREST_RESIN,9996,2,9995,25,,,10004,2,10005,25,,,10000
-2,5300,RAINFOREST_RESIN,9996,1,9995,22,,,10004,1,10005,22,,,10000
-2,5400,RAINFOREST_RESIN,9996,1,9995,29,,,10004,1,10005,29,,,10000
-2,5500,RAINFOREST_RESIN,9998,7,9996,2,9995,28,10004,2,10005,28,,,10001
-2,5600,RAINFOREST_RESIN,10000,6,9996,2,9995,30,10004,2,10005,30,,,10002
-2,5700,RAINFOREST_RESIN,9995,29,,,,,10002,1,10005,29,,,9998.5
