day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
0,0,VOLCANIC_ROCK,10502,205,,,,,10504,146,10505,59,,,10503
0,100,VOLCANIC_ROCK,10509,192,,,,,10511,122,10512,70,,,10510
0,200,VOLCANIC_ROCK,10512,167,,,,,10514,109,10515,58,,,10513
0,300,VOLCANIC_ROCK,10517,118,10516,68,,,10518,118,10519,68,,,10517.5
0,400,VOLCANIC_ROCK,10509,128,10508,73,,,10510,128,10511,73,,,10509.5
0,500,VOLCANIC_ROCK,10505,168,,,,,10507,115,10508,53,,,10506
0,600,VOLCANIC_ROCK,10503,150,10502,62,,,10504,150,10505,62,,,10503.5
0,700,VOLCANIC_ROCK,10502,114,10501,44,,,10504,158,,,,,10503
0,800,VOLCANIC_ROCK,10497,137,10496,67,,,10498,137,10499,67,,,10497.5
0,900,VOLCANIC_ROCK,10495,121,10494,63,,,10496,121,10497,63,,,10495.5
0,1000,VOLCANIC_ROCK,10498,147,10497,72,,,10500,140,10501,72,,,10499
0,1100,VOLCANIC_ROCK,10500,205,,,,,10502,125,10503,80,,,10501
0,1200,VOLCANIC_ROCK,10504,107,10503,62,,,10505,107,10506,62,,,10504.5
0,1300,VOLCANIC_ROCK,10509,106,10508,43,,,10511,149,,,,,10510
0,1400,VOLCANIC_ROCK,10509,116,10508,66,,,10511,182,,,,,10510
0,1500,VOLCANIC_ROCK,10504,132,10503,73,,,10505,132,10506,73,,,10504.5
0,1600,VOLCANIC_ROCK,10504,105,10503,63,,,10505,105,10506,63,,,10504.5
0,1700,VOLCANIC_ROCK,10498,219,,,,,10500,146,10501,73,,,10499
0,1800,VOLCANIC_ROCK,10497,139,10496,52,,,10498,139,10499,52,,,10497.5
0,1900,VOLCANIC_ROCK,10493,117,10492,47,,,10494,117,10495,47,,,10493.5
0,2000,VOLCANIC_ROCK,10492,107,10491,78,,,10494,185,,,,,10493
0,2100,VOLCANIC_ROCK,10488,107,10487,68,,,10489,107,10490,68,,,10488.5
0,2200,VOLCANIC_ROCK,10485,137,10484,44,,,10486,137,10487,44,,,10485.5
0,2300,VOLCANIC_ROCK,10491,108,10490,54,,,10492,108,10493,54,,,10491.5
0,2400,VOLCANIC_ROCK,10485,194,,,,,10487,115,10488,79,,,10486
0,2500,VOLCANIC_ROCK,10480,104,10479,50,,,10481,104,10482,50,,,10480.5
0,2600,VOLCANIC_ROCK,10474,102,10473,66,,,10476,102,10477,66,,,10475
0,2700,VOLCANIC_ROCK,10464,139,10463,77,,,10465,139,10466,77,,,10464.5
0,2800,VOLCANIC_ROCK,10472,94,10471,77,,,10473,102,10474,77,,,10472.5
0,2900,VOLCANIC_ROCK,10472,105,10471,65,,,10474,105,10475,65,,,10473
0,3000,VOLCANIC_ROCK,10478,130,10477,59,,,10479,130,10480,59,,,10478.5
0,3100,VOLCANIC_ROCK,10473,133,10472,75,,,10474,133,10475,75,,,10473.5
0,3200,VOLCANIC_ROCK,10478,182,,,,,10480,140,10481,42,,,10479
0,3300,VOLCANIC_ROCK,10479,106,10478,68,,,10480,106,10481,68,,,10479.5
0,3400,VOLCANIC_ROCK,10479,152,,,,,10481,112,10482,40,,,10480
0,3500,VOLCANIC_ROCK,10488,130,10487,49,,,10490,179,,,,,10489
0,3600,VOLCANIC_ROCK,10483,148,10482,54,,,10485,148,10486,54,,,10484
