mid_price_here,mid_price_there,transportFees,exportTariff,importTariff,sugarPrice,sunlightIndex
627.5,627.75,1,9,-3,200,60
630.5,630.75,1,9,-3,200.0984454,60
630.5,630.75,1,9,-3,200.1039148,60
632.5,632.75,1,9,-3,200.3524618,60.01
631.5,631.25,1,9,-3,200.2015446,60.01
634.5,634.75,1,9,-3,200.5331862,60.01
634.5,634.25,1,9,-3,200.5273365,60.02
633.5,633.25,1,9,-3,200.8403459,60.02
634.5,634.75,1,9,-3,200.9150882,60.02
633.5,633.25,1,9,-3,200.6624438,60.02
633.5,633.75,1,9,-3,200.5044354,60.02
635.5,635.25,1,9,-3,200.6643695,60.03
635.5,635.25,1,9,-3,200.8335424,60.03
633,633.25,1,9.5,-3,200.701769,60.03
634,634.25,1,9.5,-3,200.9650645,60.04
635,635.25,1,9.5,-3,200.9915366,60.04
637,637.25,1,9.5,-3,201.226257,60.04
642,642.25,1,9.5,-3,201.3688569,60.04
644,643.75,1,9.5,-3,201.4394136,60.04
643,643.25,1,9.5,-3,201.1060397,60.05
646.5,644.75,1,9.5,-3,201.0934547,60.05
644,644.25,1,9.5,-3,201.078263,60.05
645,644.75,1,9.5,-3,200.8993863,60.06
644,644.25,1,9.5,-3,200.804399,60.06
647,646.75,1,9.5,-3,200.8253301,60.06
651,651.25,1,9.5,-3,201.1971955,60.06
653,653.25,1,9.5,-3,201.2758462,60.06
653,653.25,1,9.5,-3,201.4289758,60.07
657,656.75,1,9.5,-3,201.7071217,60.07
661,660.75,1,9.5,-3,201.9814593,60.07
656,655.75,1,9.5,-3,201.4816004,60.08
656,655.75,1,9.5,-3,201.4333422,60.08
657,657.25,1,9.5,-3,201.5124598,60.08
660,659.75,1,9.5,-3,201.5831013,60.08
664,663.75,1,9.5,-3,201.6993779,60.08
666,665.75,1,9.5,-3,201.9533945,60.09
665,665.25,1,9.5,-3,201.9074566,60.09
668,667.75,1,9.5,-3,201.8901794,60.09
666,665.75,1,9.5,-3,201.550519,60.1
667,666.75,1,9.5,-3,201.553468,60.1
672,672.25,1,9.5,-3,202.0029105,60.1
674,674.25,1,9.5,-3,202.1259144,60.1
674,673.75,1,9.5,-3,202.1702052,60.1
671,670.75,1,9.5,-3,202.0088117,60.11
674,673.75,1,9.5,-3,202.2724053,60.11
672,671.75,1,9.5,-3,202.3126872,60.11
672,671.75,1,9.5,-3,202.0938284,60.12
673,673.25,1,9.5,-3,202.3337656,60.12
673,673.25,1,9.5,-3,202.7305019,60.12
673.5,673.5,1,9.5,-3,202.5743672,60.12
670,669.75,1,9.5,-3,202.4911715,60.12
669,669.25,1,9.5,-3,202.3493148,60.13
669,669.25,1,9.5,-3,202.217117,60.13
671,671.25,1,9.5,-3,202.3675461,60.13
667.5,669.25,1,9.5,-3,202.338228,60.14
