symbol,person,cleared_pnl,positions_all,pnl_ratio
CROISSANTS,Paris,-19876.66,14700.00,-1.35
CROISSANTS,Olivia,525.00,18.00,29.17
CROISSANTS,Camilla,-6673.05,4662.00,-1.43
CROISSANTS,Caesar,26024.70,19338.00,1.35
RAINFOREST_RESIN,Charlie,100721.21,15669.00,6.43
RAINFOREST_RESIN,Paris,-16182.99,3509.00,-4.61
RAINFOREST_RESIN,Penelope,-39667.34,5513.00,-7.20
RAINFOREST_RESIN,Gina,-5414.63,1977.00,-2.74
RAINFOREST_RESIN,Camilla,2604.08,868.00,3.00
RAINFOREST_RESIN,Gary,-19803.34,2667.00,-7.43
RAINFOREST_RESIN,Pablo,-24851.00,5730.00,-4.34
RAINFOREST_RESIN,Caesar,2594.01,1347.00,1.93
JAMS,Camilla,-12788.44,7727.00,-1.66
JAMS,Paris,3412.12,17524.00,0.19
JAMS,Caesar,9376.32,24719.00,0.38
KELP,Charlie,33445.74,20325.00,1.65
KELP,Penelope,-9481.06,7150.00,-1.33
KELP,Camilla,2901.08,3188.00,0.91
KELP,Olga,86.58,9.00,9.62
KELP,Paris,-8096.96,6627.00,-1.22
KELP,Olivia,720.00,90.00,8.00
KELP,Gary,-10958.28,5188.00,-2.11
KELP,Gina,-5051.56,2615.00,-1.93
KELP,Pablo,-2840.11,2834.00,-1.00
KELP,Caesar,-725.44,1980.00,-0.37
SQUID_INK,Charlie,30351.17,20433.00,1.49
SQUID_INK,Paris,-10890.86,6573.00,-1.66
SQUID_INK,Olivia,7907.00,90.00,87.86
SQUID_INK,Penelope,-8191.44,7192.00,-1.14
SQUID_INK,Gary,-19080.78,5211.00,-3.66
SQUID_INK,Camilla,3669.48,3392.00,1.08
SQUID_INK,Gina,-40.47,2559.00,-0.02
SQUID_INK,Pablo,-5193.89,2836.00,-1.83
SQUID_INK,Caesar,1469.79,2006.00,0.73
PICNIC_BASKET1,Charlie,-6546.59,195.00,-33.57
PICNIC_BASKET1,Penelope,3085.41,3091.00,1.00
PICNIC_BASKET1,Camilla,-2432.77,4176.00,-0.58
PICNIC_BASKET1,Pablo,-4286.79,2803.00,-1.53
PICNIC_BASKET1,Caesar,10180.74,1543.00,6.60
PICNIC_BASKET2,Charlie,2521.98,2097.00,1.20
PICNIC_BASKET2,Penelope,-14610.82,4312.00,-3.39
PICNIC_BASKET2,Camilla,21075.06,4031.00,5.23
PICNIC_BASKET2,Pablo,-12778.87,2609.00,-4.90
PICNIC_BASKET2,Caesar,3792.65,1063.00,3.57
MAGNIFICENT_MACARONS,Charlie,15429.74,1970.00,7.83
MAGNIFICENT_MACARONS,Paris,-9774.14,4152.00,-2.35
MAGNIFICENT_MACARONS,Camilla,2060.86,1761.00,1.17
MAGNIFICENT_MACARONS,Caesar,-7716.46,2093.00,-3.69
DJEMBES,Camilla,-11967.02,2225.00,-5.38
DJEMBES,Paris,-5500.21,8411.00,-0.65
DJEMBES,Caesar,17467.23,10632.00,1.64
VOLCANIC_ROCK_VOUCHER_10000,Penelope,-7152.17,7447.00,-0.96
VOLCANIC_ROCK_VOUCHER_10000,Camilla,51702.89,31753.00,1.63
VOLCANIC_ROCK_VOUCHER_10000,Pablo,-9168.47,3818.00,-2.40
VOLCANIC_ROCK_VOUCHER_10000,Caesar,-35382.25,22738.00,-1.56
VOLCANIC_ROCK_VOUCHER_10250,Penelope,2244.53,2645.00,0.85
VOLCANIC_ROCK_VOUCHER_10250,Camilla,-16731.46,25578.00,-0.65
VOLCANIC_ROCK_VOUCHER_10250,Pablo,-5340.44,3845.00,-1.39
VOLCANIC_ROCK_VOUCHER_10250,Caesar,19827.37,21070.00,0.94
VOLCANIC_ROCK_VOUCHER_10500,Penelope,52.55,662.00,0.08
VOLCANIC_ROCK_VOUCHER_10500,Camilla,-9167.21,15782.00,-0.58
VOLCANIC_ROCK_VOUCHER_10500,Pablo,-3136.66,3963.00,-0.79
VOLCANIC_ROCK_VOUCHER_10500,Caesar,12251.32,13319.00,0.92
VOLCANIC_ROCK_VOUCHER_9500,Penelope,-4252.67,10310.00,-0.41
VOLCANIC_ROCK_VOUCHER_9500,Camilla,50806.53,33628.00,1.51
VOLCANIC_ROCK_VOUCHER_9500,Pablo,-10589.87,3840.00,-2.76
VOLCANIC_ROCK_VOUCHER_9500,Caesar,-35963.99,21986.00,-1.64
VOLCANIC_ROCK_VOUCHER_9750,Penelope,-10522.78,10361.00,-1.02
VOLCANIC_ROCK_VOUCHER_9750,Camilla,47409.41,34367.00,1.38
VOLCANIC_ROCK_VOUCHER_9750,Pablo,-13537.22,3875.00,-3.49
VOLCANIC_ROCK_VOUCHER_9750,Caesar,-23349.41,22637.00,-1.03
VOLCANIC_ROCK,Peter,-23621.00,3072.00,-7.69
VOLCANIC_ROCK,Pablo,-902.06,748.00,-1.21
VOLCANIC_ROCK,Caesar,24523.06,21380.00,1.15
