symbol,buyer,seller,pnl_ratio,max_pos,min_pos,cleared_pnl,positions_all,pos_positions,neg_positions,mult_pos,mult_neg
RAINFOREST_RESIN,Caesar,Gary,-6.69,8.04,-50.00,-6099.86,911.93,1387.00,1387.00,0.68,0.33
RAINFOREST_RESIN,Caesar,Gina,-6.80,22.89,-50.00,-9634.57,1416.32,1087.00,1087.00,1.05,0.65
RAINFOREST_RESIN,Caesar,Camilla,-6.67,1.64,-50.00,-3792.74,568.89,422.00,422.00,0.42,0.67
RAINFOREST_RESIN,Caesar,Pablo,-6.80,3.31,-50.00,-7071.50,1039.51,2784.00,2784.00,0.77,0.19
RAINFOREST_RESIN,Caesar,Penelope,-6.86,0.99,-50.00,-5976.57,871.28,2653.00,2653.00,0.65,0.16
RAINFOREST_RESIN,Caesar,Charlie,-6.80,2.77,-50.00,-7122.38,1047.06,7801.00,7801.00,0.78,0.07
RAINFOREST_RESIN,Caesar,Paris,-6.78,3.34,-50.00,-5489.24,809.69,1696.00,1696.00,0.60,0.24
RAINFOREST_RESIN,Gary,Caesar,-6.64,22.42,-50.00,-6256.08,942.50,672.00,672.00,0.37,0.70
RAINFOREST_RESIN,Gary,Gina,-6.73,50.00,-7.75,-5596.69,831.13,1087.00,1087.00,0.32,0.38
RAINFOREST_RESIN,Gary,Camilla,-6.60,9.07,-50.00,-5653.64,856.85,422.00,422.00,0.33,1.02
RAINFOREST_RESIN,Gary,Pablo,-6.73,50.00,-32.40,-13286.58,1973.07,2784.00,2784.00,0.77,0.35
RAINFOREST_RESIN,Gary,Penelope,-6.79,50.00,-47.45,-13321.59,1961.71,2653.00,2653.00,0.77,0.37
RAINFOREST_RESIN,Gary,Charlie,-6.73,50.00,-33.26,-13024.57,1934.28,7801.00,7801.00,0.76,0.12
RAINFOREST_RESIN,Gary,Paris,-6.71,47.45,-50.00,-12361.00,1841.98,1696.00,1696.00,0.72,0.54
RAINFOREST_RESIN,Gina,Caesar,-6.79,6.36,-50.00,-7162.40,1055.00,672.00,672.00,0.59,0.78
RAINFOREST_RESIN,Gina,Gary,-6.77,13.87,-50.00,-4674.58,690.34,1387.00,1387.00,0.39,0.25
RAINFOREST_RESIN,Gina,Camilla,-6.75,5.51,-50.00,-3240.77,480.16,422.00,422.00,0.27,0.57
RAINFOREST_RESIN,Gina,Pablo,-6.89,32.05,-50.00,-8060.93,1170.76,2784.00,2784.00,0.66,0.21
RAINFOREST_RESIN,Gina,Penelope,-6.94,13.92,-50.00,-5760.93,829.86,2653.00,2653.00,0.47,0.16
RAINFOREST_RESIN,Gina,Charlie,-6.88,27.17,-50.00,-7194.88,1045.04,7801.00,7801.00,0.59,0.07
RAINFOREST_RESIN,Gina,Paris,-6.86,9.89,-50.00,-5849.82,852.50,1696.00,1696.00,0.48,0.25
RAINFOREST_RESIN,Camilla,Caesar,-6.91,3.66,-50.00,-5203.81,753.20,672.00,672.00,0.84,0.56
RAINFOREST_RESIN,Camilla,Gary,-6.89,3.41,-50.00,-5533.32,802.93,1387.00,1387.00,0.90,0.29
RAINFOREST_RESIN,Camilla,Gina,-7.00,34.47,-50.00,-7890.23,1126.37,1087.00,1087.00,1.26,0.52
RAINFOREST_RESIN,Camilla,Pablo,-7.01,10.33,-50.00,-10106.26,1442.69,2784.00,2784.00,1.62,0.26
RAINFOREST_RESIN,Camilla,Penelope,-7.06,2.90,-50.00,-6894.24,976.24,2653.00,2653.00,1.09,0.18
RAINFOREST_RESIN,Camilla,Charlie,-7.00,4.91,-50.00,-8392.42,1198.10,7801.00,7801.00,1.34,0.08
