timestamp,bidPrice,askPrice,transportFees,exportTariff,importTariff,sugarPrice,sunlightIndex,
0,671,672.5,2.1,10,-3,199,55,671.75
100,672,673.5,2.1,10,-3,199.0640894,55,672.75
200,668.5,670,2.1,10,-3,198.7831682,55.01,669.25
300,668.5,670,2.1,10,-3,198.5451204,55.02,669.25
400,668,669.5,2.1,10,-3,198.4552608,55.02,668.75
500,668.5,670,2.1,10,-3,198.3275292,55.02,669.25
600,668.5,670,2.1,10,-3,198.3160221,55.03,669.25
700,666.5,668,2.1,10,-3,197.9338146,55.04,667.25
800,665.5,667,2.1,10,-3,197.9476105,55.04,666.25
900,667,668.5,2.1,10,-3,198.029885,55.04,667.75
1000,663.5,665,2.1,10,-3,197.9052371,55.05,664.25
1100,662.5,664,2.1,10,-3,198.0165933,55.06,663.25
1200,660,661.5,2.1,10,-3,197.8808047,55.06,660.75
1300,660,661.5,2.1,10,-3,197.9579259,55.06,660.75
1400,658,659.5,2.1,10,-3,197.7650736,55.07,658.75
1500,656,657.5,2.1,10,-3,197.7011287,55.08,656.75
1600,655.5,657,2.1,10,-3,197.506908,55.08,656.25
1700,658,659.5,2.1,10,-3,197.7254109,55.08,658.75
1800,656.5,658,2.1,10,-3,197.7306778,55.09,657.25
1900,661,662.5,2.1,10,-3,197.9388818,55.1,661.75
2000,658.5,660,2.1,10,-3,197.8649755,55.1,659.25
2100,654,655.5,2.1,10,-3,197.5084966,55.1,654.75
2200,656.5,658,2.1,10,-3,197.4749907,55.11,657.25
2300,654,655.5,2.1,10,-3,197.3785734,55.12,654.75
2400,653,654.5,2.1,10,-3,197.4769789,55.12,653.75
2500,650,651.5,2.1,10,-3,197.4289708,55.12,650.75
2600,646.5,648,2.1,10,-3,197.1049164,55.13,647.25
2700,642,643.5,2.1,10,-3,196.8151291,55.14,642.75
2800,636,637.5,2.1,10,-3,196.6080591,55.14,636.75
2900,637.5,639,2.1,10,-3,196.7270344,55.14,638.25
3000,639.5,641,2.1,10,-3,196.8061914,55.15,640.25
3100,643.5,645,2.1,10,-3,197.0319121,55.16,644.25
3200,645,646.5,2.1,10,-3,197.2418309,55.16,645.75
3300,647.5,649,2.1,10,-3,197.7410486,55.16,648.25
3400,647,649,2.1,10,-3,197.6283245,55.17,648
3500,649.5,651,2.1,10,-3,197.6716396,55.18,650.25
3600,652.5,654,2.1,10,-3,197.7762554,55.18,653.25
3700,653.5,655,2.1,10,-3,197.8638461,55.18,654.25
3800,654,655.5,2.1,10,-3,198.0563327,55.19,654.75
3900,655,656.5,2.1,10,-3,197.8040823,55.2,655.75
4000,654,655.5,2.1,10,-3,197.9078994,55.2,654.75
4100,649,650.5,2.1,10,-3,197.7267691,55.2,649.75
4200,646,647.5,2.1,10,-3,197.5140617,55.21,646.75
4300,647.5,649,2.1,10,-3,197.7370195,55.22,648.25
4400,652,653.5,2.1,10,-3,198.1300682,55.22,652.75
4500,650.5,652,2.1,10,-3,198.0328116,55.22,651.25
4600,648,649.5,2.1,10,-3,197.9835385,55.23,648.75
4700,651,652.5,2.1,10,-3,198.0426404,55.24,651.75
4800,648.5,650,2.1,10,-3,198.0311312,55.24,649.25
4900,648,649.5,2.1,10,-3,198.1962438,55.24,648.75
5000,649.5,651,2.1,10,-3,198.5463064,55.25,650.25
5100,651,652.5,2.1,10,-3,198.7740048,55.26,651.75
5200,650.5,652,2.1,10,-3,198.8424022,55.26,651.25
5300,649,650.5,2.1,10,-3,198.8973777,55.26,649.75
5400,646.5,648,2.1,10,-3,198.7336147,55.27,647.25
5500,648.5,650,2.1,10,-3,198.6999058,55.28,649.25
5600,644.5,646,2.1,10,-3,198.5195137,55.28,645.25
5700,646,647.5,2.1,10,-3,198.7046312,55.28,646.75
5800,644.5,646,2.1,10,-3,198.5928008,55.29,645.25
5900,645,646.5,2.1,10,-3,198.6953928,55.3,645.75
6000,647.5,649,2.1,10,-3,198.8844658,55.3,648.25
6100,643.5,645,2.1,10,-3,198.7828907,55.3,644.25
6200,641.5,643,2.1,10,-3,198.6176113,55.31,642.25
6300,639,640.5,2.1,10,-3,198.5270389,55.32,639.75
6400,641.5,643,2.1,10,-3,198.9566143,55.32,642.25
6500,642,643.5,2.1,10,-3,198.7590122,55.32,642.75
6600,641.5,643.5,2.1,10,-3,199.1362841,55.33,642.5
6700,644,645.5,2.1,10,-3,199.2907488,55.34,644.75
6800,643.5,645,2.1,10,-3,199.2296189,55.34,644.25
6900,646.5,648,2.1,10,-3,199.3880121,55.34,647.25
7000,645.5,647,2.1,10,-3,199.1739169,55.35,646.25
7100,642,643.5,2.1,10,-3,199.0313137,55.36,642.75
7200,642,643.5,2.1,10,-3,198.9237524,55.36,642.75
7300,646.5,648,2.1,10,-3,199.0144076,55.36,647.25
7400,642.5,644,2.1,10,-3,198.8119841,55.37,643.25
7500,641,642.5,2.1,10,-3,198.7407841,55.38,641.75
7600,638.5,640,2.1,10,-3,198.5621674,55.38,639.25
7700,640.5,642,2.1,10,-3,198.823016,55.38,641.25
7800,643,644.5,2.1,10,-3,198.8346586,55.39,643.75
7900,643.5,645,2.1,10,-3,198.7495693,55.4,644.25
8000,645,646.5,2.1,10,-3,198.7053337,55.4,645.75
8100,645,646.5,2.1,10,-3,198.4696663,55.4,645.75
8200,642.5,644,2.1,10,-3,198.311118,55.41,643.25
8300,645.5,647,2.1,10,-3,198.5174485,55.42,646.25
8400,646,647.5,2.1,10,-3,198.6670245,55.42,646.75
8500,645.5,647.5,2.1,10,-3,198.4442749,55.42,646.5
8600,644.5,646,2.1,10,-3,198.4160903,55.43,645.25
8700,646,647.5,2.1,10,-3,198.458402,55.44,646.75
8800,642,643.5,2.1,10,-3,198.4163727,55.44,642.75
8900,644,645.5,2.1,10,-3,198.6590574,55.44,644.75
9000,640.5,642,2.1,10,-3,198.6279864,55.45,641.25
9100,644,645.5,2.1,10,-3,198.8582809,55.46,644.75
9200,643.5,645,2.1,10,-3,198.6469571,55.46,644.25
9300,646.5,648,2.1,10,-3,198.8440299,55.46,647.25
9400,644.5,646,2.1,10,-3,198.7001717,55.47,645.25
9500,641.5,643,2.1,10,-3,198.6722716,55.48,642.25
9600,638,639.5,2.1,10,-3,198.4375877,55.48,638.75
9700,638.5,640,2.1,10,-3,198.4531492,55.48,639.25
9800,638,639.5,2.1,10,-3,198.4401619,55.49,638.75
9900,641,642.5,2.1,10,-3,198.5943605,55.5,641.75
10000,644.5,646,2.1,10,-3,198.6043028,55.5,645.25
10100,645,646.5,2.1,10,-3,198.8595599,55.5,645.75
10200,641.5,643,2.1,10,-3,198.5994381,55.51,642.25
10300,643.5,645,2.1,10,-3,198.7983053,55.52,644.25
10400,643.5,645.5,2.1,10,-3,198.6583787,55.52,644.5
10500,643.5,645.5,2.1,10,-3,198.6162818,55.52,644.5
