symbol,buyer,seller,pnl_ratio,max_pos,min_pos,cleared_pnl,positions_all,pos_positions,neg_positions,mult_pos,mult_neg
RAINFOREST_RESIN,Paris,Charlie,-6.70,50.00,-41.15,-42745.59,6382.96,7801.00,7801.00,1.88,0.41
KELP,Olivia,Olivia,8.33,0.00,-50.00,18750.00,2250.00,1125.00,1125.00,25.00,25.00
SQUID_INK,Olivia,Olivia,81.00,50.00,0.00,24300.00,300.00,150.00,150.00,3.33,3.33
CROISSANTS,Paris,Caesar,-0.61,250.00,-54.64,-211063.13,344419.80,7039.00,7039.00,24.50,24.47
JAMS,Paris,Caesar,-0.88,350.00,-176.87,-187953.61,213279.02,8439.00,8439.00,12.42,12.64
DJEMBES,Paris,Caesar,-0.64,60.00,-5.86,-59235.79,92756.76,4224.00,4224.00,10.98,10.98
PICNIC_BASKET1,Penelope,Camilla,-7.84,60.00,-14.62,-37687.32,4808.99,1755.00,1755.00,1.57,1.37
PICNIC_BASKET2,Camilla,Charlie,-6.64,69.66,-100.00,-23213.05,3496.78,795.00,795.00,0.72,2.20
VOLCANIC_ROCK,Peter,Peter,-7.52,400.00,-309.27,-125923.18,16751.11,8375.55,8375.55,5.82,5.13
VOLCANIC_ROCK_VOUCHER_9500,Caesar,Caesar,8.78,45.95,-200.00,35308.47,4022.36,2011.18,2011.18,6.27,0.10
VOLCANIC_ROCK_VOUCHER_9750,Penelope,Camilla,-0.50,200.00,-127.91,-40689.40,81238.40,4726.00,4726.00,8.33,8.59
VOLCANIC_ROCK_VOUCHER_10000,Penelope,Pablo,-16.76,200.00,-51.89,-37715.41,2250.21,3683.00,3683.00,0.32,0.31
VOLCANIC_ROCK_VOUCHER_10250,Camilla,Caesar,-0.83,200.00,-21.54,-20698.54,24874.36,19116.00,19116.00,0.52,0.65
VOLCANIC_ROCK_VOUCHER_10500,Camilla,Caesar,-0.48,182.71,-200.00,-20003.58,41324.55,11690.00,11690.00,1.48,1.77
MAGNIFICENT_MACARONS,Paris,Charlie,-3.87,75.00,-41.76,-97292.23,25139.71,1912.00,1912.00,6.48,6.57
