"ASH_EPSILON";"150";"160";"170";"180"
"0.25";"Round 1 day -2: 16,553";"Round 1 day -2: 16,553";"Round 1 day -2: 16,579";"Round 1 day -2: 16,542"
"";"Round 1 day -1: 17,269";"Round 1 day -1: 17,266";"Round 1 day -1: 17,231";"Round 1 day -1: 17,195"
"";"Round 1 day 0: 16,670";"Round 1 day 0: 16,733";"Round 1 day 0: 16,745";"Round 1 day 0: 16,749"
"";"Total profit: 50,492";"Total profit: 50,552";"Total profit: 50,555";"Total profit: 50,486"
"0.30";"Round 1 day -2: 16,685";"Round 1 day -2: 16,705";"Round 1 day -2: 16,850";"Round 1 day -2: 16,822"
"";"Round 1 day -1: 17,433";"Round 1 day -1: 17,485";"Round 1 day -1: 17,486";"Round 1 day -1: 17,628"
"";"Round 1 day 0: 16,698";"Round 1 day 0: 16,698";"Round 1 day 0: 16,715";"Round 1 day 0: 16,849"
"";"Total profit: 50,816";"Total profit: 50,888";"Total profit: 51,051";"Total profit: 51,299"
"0.35";"Round 1 day -2: 16,661";"Round 1 day -2: 16,825";"Round 1 day -2: 16,825";"Round 1 day -2: 17,036"
"";"Round 1 day -1: 17,975";"Round 1 day -1: 18,084";"Round 1 day -1: 18,035";"Round 1 day -1: 18,246"
"";"Round 1 day 0: 16,845";"Round 1 day 0: 16,815";"Round 1 day 0: 16,724";"Round 1 day 0: 16,746"
"";"Total profit: 51,481";"Total profit: 51,724";"Total profit: 51,584";"Total profit: 52,028"
"0.40";"Round 1 day -2: 16,809";"Round 1 day -2: 16,895";"Round 1 day -2: 16,895";"Round 1 day -2: 17,094"
"";"Round 1 day -1: 18,641";"Round 1 day -1: 19,062";"Round 1 day -1: 18,732";"Round 1 day -1: 18,814"
"";"Round 1 day 0: 17,030";"Round 1 day 0: 17,109";"Round 1 day 0: 17,083";"Round 1 day 0: 17,123"
"";"Total profit: 52,480";"Total profit: 53,066";"Total profit: 52,710";"Total profit: 53,031"
"0.45";"Round 1 day -2: 16,905";"Round 1 day -2: 16,905";"Round 1 day -2: 16,905";"Round 1 day -2: 17,025"
"";"Round 1 day -1: 19,316";"Round 1 day -1: 19,396";"Round 1 day -1: 19,495";"Round 1 day -1: 19,403"
"";"Round 1 day 0: 17,467";"Round 1 day 0: 17,533";"Round 1 day 0: 17,465";"Round 1 day 0: 17,440"
"";"Total profit: 53,688";"Total profit: 53,834";"Total profit: 53,865";"Total profit: 53,868"
"0.50";"Round 1 day -2: 16,975";"Round 1 day -2: 17,031";"Round 1 day -2: 17,039";"Round 1 day -2: 17,151"
"";"Round 1 day -1: 19,462";"Round 1 day -1: 19,511";"Round 1 day -1: 19,627";"Round 1 day -1: 19,784"
"";"Round 1 day 0: 17,683";"Round 1 day 0: 17,713";"Round 1 day 0: 17,729";"Round 1 day 0: 17,815"
"";"Total profit: 54,120";"Total profit: 54,255";"Total profit: 54,395";"Total profit: 54,750"
"0.55";"Round 1 day -2: 17,051";"Round 1 day -2: 17,074";"Round 1 day -2: 17,195";"Round 1 day -2: 17,379"
"";"Round 1 day -1: 19,606";"Round 1 day -1: 19,604";"Round 1 day -1: 19,681";"Round 1 day -1: 19,666"
"";"Round 1 day 0: 18,074";"Round 1 day 0: 18,027";"Round 1 day 0: 18,036";"Round 1 day 0: 17,694"
"";"Total profit: 54,731";"Total profit: 54,705";"Total profit: 54,912";"Total profit: 54,739"
"0.60";"Round 1 day -2: 17,060";"Round 1 day -2: 16,950";"Round 1 day -2: 17,088";"Round 1 day -2: 17,165"
"";"Round 1 day -1: 19,518";"Round 1 day -1: 19,561";"Round 1 day -1: 19,585";"Round 1 day -1: 19,577"
"";"Round 1 day 0: 18,074";"Round 1 day 0: 18,008";"Round 1 day 0: 18,057";"Round 1 day 0: 17,945"
"";"Total profit: 54,652";"Total profit: 54,519";"Total profit: 54,730";"Total profit: 54,687"
"0.65";"Round 1 day -2: 17,044";"Round 1 day -2: 17,014";"Round 1 day -2: 16,880";"Round 1 day -2: 16,939"
