alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha7,alpha8,alpha9,alpha10,day_-2_profit,day_-1_profit,day_0_profit,total_profit
-80,-75,-20,0,0,10,55,70,75,80,18457,19677,18862,56996
-80,-75,-20,0,10,10,55,70,75,80,18457,19677,18862,56996
-80,-75,-20,0,5,10,55,70,75,80,18457,19677,18862,56996
-80,-75,-20,5,5,10,55,70,75,80,18457,19677,18862,56996
-80,-75,-20,5,10,10,55,70,75,80,18457,19677,18862,56996
-80,-75,-20,10,10,10,55,70,75,80,18457,19665,18862,56984
-80,-75,-20,-10,5,10,55,70,75,80,18457,19653,18866,56976
-80,-75,-20,-5,5,10,55,70,75,80,18457,19647,18866,56970
-80,-75,-20,-5,10,10,55,70,75,80,18457,19647,18866,56970
-80,-75,-20,-10,10,10,55,70,75,80,18457,19641,18866,56964
-80,-75,-20,-10,-5,10,55,70,75,80,18457,19653,18842,56952
-80,-75,-20,-10,-10,10,55,70,75,80,18457,19653,18842,56952
-80,-75,-20,-10,0,10,55,70,75,80,18457,19653,18842,56952
-80,-75,-20,-5,-5,10,55,70,75,80,18457,19647,18842,56946
-80,-75,-20,-5,0,10,55,70,75,80,18457,19647,18842,56946
