alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha7,alpha8,alpha9,alpha10,day_-2_profit,day_-1_profit,day_0_profit,total_profit
-80,-75,-70,1,5,10,53,72,75,80,18465,19672,18822,56959
-80,-75,-74,1,5,10,53,72,75,80,18465,19672,18822,56959
-80,-75,-65,1,5,10,53,72,75,80,18465,19672,18822,56959
-80,-75,-60,1,5,10,53,72,75,80,18465,19672,18822,56959
-80,-75,-50,1,5,10,53,72,75,80,18443,19677,18822,56942
-80,-75,-55,1,5,10,53,72,75,80,18443,19672,18822,56937
-80,-75,-45,1,5,10,53,72,75,80,18421,19677,18822,56920
-80,-75,-40,1,5,10,53,72,75,80,18421,19677,18822,56920
-80,-75,-30,1,5,10,53,72,75,80,18421,19677,18822,56920
-80,-75,-35,1,5,10,53,72,75,80,18421,19677,18822,56920
-80,-75,-25,1,5,10,53,72,75,80,18421,19677,18822,56920
-80,-75,-20,1,5,10,53,72,75,80,18421,19677,18822,56920
