alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha7,alpha8,alpha9,alpha10,day_-2_profit,day_-1_profit,day_0_profit,total_profit
-80,-75,-35,5,10,10,50,70,70,80,18457,19662,18862,56981
-75,-75,-15,5,10,10,50,70,70,80,18457,19662,18862,56981
-80,-75,-25,5,10,10,50,70,70,80,18457,19662,18862,56981
-70,-70,-15,5,10,10,50,70,70,80,18457,19662,18862,56981
-70,-70,-25,5,10,10,50,70,70,80,18457,19662,18862,56981
-70,-70,-35,5,10,10,50,70,70,80,18457,19662,18862,56981
-75,-70,-15,5,10,10,50,70,70,80,18457,19662,18862,56981
-75,-70,-25,5,10,10,50,70,70,80,18457,19662,18862,56981
-75,-70,-35,5,10,10,50,70,70,80,18457,19662,18862,56981
-75,-75,-25,5,10,10,50,70,70,80,18457,19662,18862,56981
-75,-75,-35,5,10,10,50,70,70,80,18457,19662,18862,56981
-80,-70,-15,5,10,10,50,70,70,80,18457,19662,18862,56981
-80,-70,-25,5,10,10,50,70,70,80,18457,19662,18862,56981
-80,-70,-35,5,10,10,50,70,70,80,18457,19662,18862,56981
-80,-75,-15,5,10,10,50,70,70,80,18457,19662,18862,56981
-75,-75,-25,-5,10,10,50,70,70,70,18428,19661,18892,56980
-70,-70,-25,-5,10,10,50,70,70,70,18428,19661,18892,56980
-70,-70,-35,-5,10,10,50,70,70,70,18428,19661,18892,56980
-75,-70,-25,-5,10,10,50,70,70,70,18428,19661,18892,56980
-75,-70,-35,-5,10,10,50,70,70,70,18428,19661,18892,56980
-75,-75,-35,-5,10,10,50,70,70,70,18428,19661,18892,56980
-80,-70,-25,-5,10,10,50,70,70,70,18428,19661,18892,56980
-80,-70,-35,-5,10,10,50,70,70,70,18428,19661,18892,56980
-80,-75,-25,-5,10,10,50,70,70,70,18428,19661,18892,56980
-80,-75,-35,-5,10,10,50,70,70,70,18428,19661,18892,56980
-75,-75,-25,-15,10,10,50,70,70,80,18457,19651,18866,56974
-70,-70,-25,-15,10,10,50,70,70,80,18457,19651,18866,56974
-70,-70,-35,-15,10,10,50,70,70,80,18457,19651,18866,56974
-75,-70,-25,-15,10,10,50,70,70,80,18457,19651,18866,56974
-75,-70,-35,-15,10,10,50,70,70,80,18457,19651,18866,56974
-75,-75,-35,-15,10,10,50,70,70,80,18457,19651,18866,56974
-80,-70,-25,-15,10,10,50,70,70,80,18457,19651,18866,56974
-80,-70,-35,-15,10,10,50,70,70,80,18457,19651,18866,56974
-80,-75,-25,-15,10,10,50,70,70,80,18457,19651,18866,56974
-80,-75,-35,-15,10,10,50,70,70,80,18457,19651,18866,56974
-80,-80,-35,5,10,10,50,70,70,80,18457,19662,18854,56973
-80,-80,-25,5,10,10,50,70,70,80,18457,19662,18854,56973
-80,-80,-15,5,10,10,50,70,70,80,18457,19662,18854,56973
-75,-75,-25,-5,10,10,50,70,70,80,18457,19647,18866,56970
-70,-70,-25,-5,10,10,50,70,70,80,18457,19647,18866,56970
-70,-70,-35,-5,10,10,50,70,70,80,18457,19647,18866,56970
-75,-70,-25,-5,10,10,50,70,70,80,18457,19647,18866,56970
-75,-70,-35,-5,10,10,50,70,70,80,18457,19647,18866,56970
-80,-75,-25,-5,10,10,50,70,70,80,18457,19647,18866,56970
-75,-75,-35,-5,10,10,50,70,70,80,18457,19647,18866,56970
-80,-70,-35,-5,10,10,50,70,70,80,18457,19647,18866,56970
-80,-75,-35,-5,10,10,50,70,70,80,18457,19647,18866,56970
-80,-70,-25,-5,10,10,50,70,70,80,18457,19647,18866,56970
