group,alpha8,alpha9,alpha10,mean_total_profit,count,max_total_profit,min_total_profit,std_total_profit
alpha8_alpha9_alpha10,70,70,80,56911.1,20,56996,56585,89.51324512401057
alpha8_alpha9_alpha10,70,75,80,56911.1,20,56996,56585,89.51324512401057
alpha8_alpha9_alpha10,70,80,80,56911.1,20,56996,56585,89.51324512401057
alpha8_alpha9_alpha10,70,70,75,56904.55,20,56988,56571,91.07629826285103
alpha8_alpha9_alpha10,70,75,75,56904.55,20,56988,56571,91.07629826285103
alpha8_alpha9_alpha10,65,70,75,56856.05,20,56950,56684,69.19041232638041
alpha8_alpha9_alpha10,65,75,75,56856.05,20,56950,56684,69.19041232638041
alpha8_alpha9_alpha10,65,70,80,56855.1,20,56947,56678,68.38043733792493
alpha8_alpha9_alpha10,65,75,80,56855.1,20,56947,56678,68.38043733792493
alpha8_alpha9_alpha10,65,80,80,56855.1,20,56947,56678,68.38043733792493
alpha8_alpha9_alpha10,65,65,75,56851.25,20,56950,56660,73.70915461246115
alpha8_alpha9_alpha10,65,65,80,56851.25,20,56947,56655,72.87471224101338
alpha8_alpha9_alpha10,75,75,80,56832.25,20,56890,56555,75.16079255065063
alpha8_alpha9_alpha10,75,80,80,56832.25,20,56890,56555,75.16079255065063
alpha8_alpha9_alpha10,75,75,75,56800.15,20,56860,56525,73.08414400718611
