alpha1,alpha2,alpha3,mean_total_profit,count,max_total_profit,min_total_profit,std_total_profit
-80,-75,-20,56961.3,60,57004,56919,29.225192290325033
-80,-75,-35,56959.8,60,56996,56919,28.67515312565201
-80,-75,-30,56959.8,60,56996,56919,28.67515312565201
-80,-75,-25,56959.8,60,56996,56919,28.67515312565201
-80,-80,-20,56958.1,60,56996,56916,27.350022464584818
-80,-80,-35,56956.6,60,56988,56923,26.332425071939248
-80,-80,-30,56956.6,60,56988,56923,26.332425071939248
-80,-80,-25,56956.6,60,56988,56923,26.332425071939248
-80,-75,-15,56950.9,60,56984,56912,28.92579635750071
-80,-80,-15,56947.7,60,56976,56904,28.161940899988736
