alpha7,alpha8,alpha9,alpha10,mean_total_profit,count,max_total_profit,min_total_profit,std_total_profit
55,70,70,80,56987.2,60,56996,56964,10.01151878959856
55,70,75,80,56987.2,60,56996,56964,10.01151878959856
50,70,70,80,56977.73333333333,60,57004,56972,5.804342812087524
50,70,75,80,56977.73333333333,60,57004,56972,5.804342812087524
45,70,70,80,56969.73333333333,60,56994,56966,4.635407819136176
45,70,75,80,56969.73333333333,60,56994,56966,4.635407819136176
60,70,70,80,56927.2,60,56936,56904,10.01151878959856
60,70,75,80,56927.2,60,56936,56904,10.01151878959856
40,70,70,80,56921.73333333333,60,56946,56918,4.635407819136176
40,70,75,80,56921.73333333333,60,56946,56918,4.635407819136176
