PEPPER_HISTORY_LENGTH,PEPPER_MUST_SELL_BUY_COEFF,PEPPER_ALPHA,day_-2_profit,day_-1_profit,day_0_profit,total_profit
34,0.37,10,101533,102254,102003,305790
39,0.375,11,101530,102246,102029,305805
39,0.355,9,101526,102355,102074,305955
39,0.36,9,101526,102314,102046,305886
39,0.365,10,101526,102314,102029,305869
39,0.37,10,101526,102336,102004,305866
19,0.42,14,101524,102041,101902,305467
39,0.375,12,101514,102274,101963,305751
34,0.37,11,101514,102192,102020,305726
34,0.38,11,101514,102210,101957,305681
129,0.36,14,101514,102236,101910,305660
99,0.38,15,101513,102167,101946,305626
39,0.38,12,101511,102253,101990,305754
99,0.36,13,101509,102279,101969,305757
29,0.46,17,101509,102136,101899,305544
39,0.345,8,101506,102379,101986,305871
39,0.35,9,101505,102362,102069,305936
34,0.36,10,101505,102271,102024,305800
29,0.4,13,101502,102120,101885,305507
39,0.36,10,101501,102377,102024,305902
39,0.37,11,101501,102224,102024,305749
69,0.38,14,101497,102268,101977,305742
29,0.44,16,101496,102166,101876,305538
49,0.35,9,101490,102329,102066,305885
29,0.38,12,101490,102175,101997,305662
99,0.38,14,101488,102279,102083,305850
129,0.3,5,101487,102277,101670,305434
34,0.35,8,101485,102288,101914,305687
59,0.38,13,101484,102218,102073,305775
49,0.36,8,101483,102225,102062,305770
34,0.34,7,101483,102219,101997,305699
69,0.36,13,101482,102311,101987,305780
29,0.39,13,101481,102210,102024,305715
34,0.38,12,101481,102176,102055,305712
39,0.35,8,101480,102296,102025,305801
49,0.36,11,101480,102265,102050,305795
49,0.35,10,101480,102303,101981,305764
99,0.36,14,101478,102265,101995,305738
34,0.36,9,101477,102290,101911,305678
69,0.36,12,101474,102228,101948,305650
49,0.32,7,101473,102365,102014,305852
49,0.34,8,101473,102344,101971,305788
19,0.42,16,101473,102009,101926,305408
39,0.335,7,101472,102350,102028,305850
49,0.38,13,101472,102198,102005,305675
34,0.39,13,101472,102202,101947,305621
199,0.34,14,101470,102276,102017,305763
49,0.37,12,101469,102232,101968,305669
29,0.37,10,101468,102305,101986,305759
69,0.4,14,101467,102239,102072,305778
49,0.36,10,101466,102358,102062,305886
69,0.36,11,101466,102249,101976,305691
44,0.35,9,101465,102305,102019,305789
39,0.33,7,101465,102358,101899,305722
59,0.32,6,101464,102279,101801,305544
39,0.41,13,101463,102273,101918,305654
49,0.37,13,101462,102247,101977,305686
44,0.34,7,101462,102151,102057,305670
39,0.34,7,101461,102313,101986,305760
49,0.33,7,101461,102284,101970,305715
49,0.33,8,101459,102342,101955,305756
69,0.38,15,101459,102273,101976,305708
129,0.36,13,101459,102223,101997,305679
39,0.34,8,101458,102359,101884,305701
19,0.38,12,101458,102184,101989,305631
49,0.34,7,101456,102181,102040,305677
129,0.3,8,101456,102389,101809,305654
49,0.44,15,101456,102247,101906,305609
39,0.39,13,101455,102267,102020,305742
49,0.42,14,101455,102230,102056,305741
34,0.35,9,101455,102310,101963,305728
29,0.4,14,101455,102185,101918,305558
129,0.34,11,101453,102262,102060,305775
39,0.38,11,101452,102274,101983,305709
34,0.34,8,101451,102298,101981,305730
29,0.37,11,101451,102203,102067,305721
34,0.4,13,101451,102230,101905,305586
29,0.39,12,101450,102189,101980,305619
44,0.34,8,101449,102281,101968,305698
49,0.38,14,101449,102194,101961,305604
39,0.375,10,101448,102355,102013,305816
44,0.36,10,101448,102249,101985,305682
44,0.33,6,101448,102273,101830,305551
99,0.3,7,101447,102251,101855,305553
199,0.34,12,101447,102216,101819,305482
69,0.42,15,101446,102266,102034,305746
59,0.32,7,101446,102311,101986,305743
34,0.35,7,101445,102219,101733,305397
44,0.37,12,101444,102260,101946,305650
129,0.34,13,101444,102172,101931,305547
69,0.34,8,101443,102362,102066,305871
59,0.34,8,101443,102315,101969,305727
199,0.38,18,101442,102152,101969,305563
49,0.33,6,101441,102276,101799,305516
44,0.33,7,101440,102321,101979,305740
99,0.36,12,101440,102290,101992,305722
29,0.42,16,101439,102008,101928,305375
44,0.34,9,101438,102298,102033,305769
49,0.39,13,101438,102290,102012,305740
69,0.32,6,101438,102310,101822,305570
99,0.38,16,101438,102233,101897,305568
129,0.34,14,101438,102198,101894,305530
69,0.32,7,101437,102359,101976,305772
34,0.33,7,101437,102294,101939,305670
59,0.36,10,101436,102321,102071,305828
69,0.34,10,101436,102348,101983,305767
129,0.36,15,101435,102192,101903,305530
129,0.38,14,101434,102218,101921,305573
29,0.36,9,101433,102287,102028,305748
34,0.35,10,101433,102281,102001,305715
129,0.3,9,101433,102317,101832,305582
39,0.44,15,101433,102230,101884,305547
39,0.365,11,101432,102284,102076,305792
99,0.4,16,101432,102187,102100,305719
39,0.335,8,101431,102347,101900,305678
129,0.38,15,101431,102187,102020,305638
99,0.34,10,101430,102339,102069,305838
69,0.36,8,101430,102211,102080,305721
69,0.34,7,101429,102176,102092,305697
29,0.42,15,101429,102134,101912,305475
129,0.3,7,101428,102355,101714,305497
39,0.4,13,101427,102263,101906,305596
99,0.34,9,101426,102360,102028,305814
39,0.355,10,101426,102348,102024,305798
69,0.32,8,101425,102350,101904,305679
49,0.34,9,101424,102295,102058,305777
