PEPPER_HISTORY_LENGTH,PEPPER_MUST_SELL_BUY_COEFF,PEPPER_ALPHA,day_-2_profit,day_-1_profit,day_0_profit,total_profit
69,0.34,8,101443,102362,102066,305871
99,0.38,14,101488,102279,102083,305850
99,0.34,10,101430,102339,102069,305838
69,0.38,10,101406,102318,102113,305837
39,0.38,10,101335,102355,102078,305768
69,0.34,10,101436,102348,101983,305767
99,0.34,8,101355,102317,102091,305763
199,0.34,14,101470,102276,102017,305763
39,0.38,12,101511,102253,101990,305754
69,0.38,14,101497,102268,101977,305742
99,0.34,12,101416,102307,102015,305738
199,0.38,16,101392,102244,102083,305719
39,0.34,8,101458,102359,101884,305701
39,0.42,14,101414,102233,102006,305653
299,0.38,18,101322,102270,102058,305650
69,0.38,12,101349,102260,102035,305644
39,0.34,10,101297,102301,102034,305632
19,0.38,12,101458,102184,101989,305631
99,0.42,16,101345,102242,102032,305619
69,0.34,12,101261,102369,101974,305604
99,0.38,16,101438,102233,101897,305568
199,0.38,18,101442,102152,101969,305563
69,0.42,14,101261,102248,102053,305562
199,0.3,12,101363,102291,101906,305560
199,0.42,16,101375,102221,101962,305558
19,0.34,8,101367,102270,101911,305548
199,0.34,10,101386,102186,101974,305546
19,0.38,10,101361,102250,101933,305544
69,0.38,16,101401,102273,101858,305532
199,0.42,18,101299,102230,101998,305527
99,0.3,10,101363,102266,101892,305521
39,0.42,12,101240,102254,102023,305517
19,0.34,10,101263,102259,101991,305513
99,0.38,12,101268,102209,102035,305512
39,0.34,12,101293,102193,102020,305506
39,0.42,16,101344,102173,101973,305490
99,0.3,8,101410,102199,101873,305482
199,0.34,12,101447,102216,101819,305482
69,0.42,16,101374,102197,101907,305478
299,0.3,12,101359,102286,101831,305476
299,0.38,20,101419,102054,102001,305474
19,0.42,12,101350,102225,101898,305473
299,0.34,16,101325,102180,101965,305470
19,0.42,14,101524,102041,101902,305467
39,0.34,6,101406,102245,101813,305464
99,0.38,10,101212,102284,101964,305460
199,0.38,14,101311,102146,102000,305457
199,0.42,20,101394,102108,101952,305454
19,0.3,8,101296,102358,101799,305453
69,0.34,14,101319,102134,101995,305448
69,0.42,12,101149,102210,102079,305438
39,0.38,14,101291,102150,101997,305438
99,0.34,14,101306,102220,101911,305437
39,0.38,16,101341,102186,101901,305428
199,0.34,16,101385,102236,101805,305426
19,0.42,16,101473,102009,101926,305408
19,0.34,12,101342,102179,101875,305396
99,0.42,18,101278,102177,101940,305395
299,0.3,16,101313,102266,101816,305395
99,0.3,6,101387,102263,101744,305394
199,0.3,10,101281,102312,101794,305387
39,0.34,14,101328,102055,102000,305383
299,0.34,14,101308,102177,101894,305379
19,0.34,14,101315,102178,101871,305364
39,0.3,8,101169,102220,101971,305360
19,0.38,14,101309,102114,101934,305357
299,0.3,14,101288,102270,101788,305346
299,0.34,18,101336,102106,101899,305341
399,0.34,18,101370,102139,101827,305336
69,0.3,8,101246,102222,101865,305333
199,0.3,8,101250,102307,101764,305321
299,0.38,16,101207,102212,101900,305319
299,0.26,8,101391,102284,101642,305317
299,0.3,10,101368,102102,101840,305310
69,0.3,6,101314,102277,101718,305309
399,0.38,20,101353,102065,101890,305308
99,0.42,14,101226,102228,101850,305304
69,0.42,18,101276,102183,101845,305304
19,0.38,16,101283,102119,101887,305289
399,0.3,16,101303,102166,101819,305288
399,0.3,14,101293,102249,101737,305279
19,0.34,6,101343,102128,101798,305269
299,0.34,12,101306,102173,101783,305262
299,0.42,18,101196,102223,101840,305259
19,0.3,6,101285,102264,101706,305255
99,0.34,16,101257,102085,101910,305252
69,0.34,16,101220,102064,101966,305250
39,0.38,8,101181,102283,101782,305246
69,0.38,18,101243,102105,101884,305232
299,0.42,20,101269,102113,101850,305232
199,0.3,14,101203,102170,101858,305231
399,0.34,16,101341,102151,101734,305226
69,0.34,6,101357,102202,101662,305221
399,0.3,12,101288,102140,101790,305218
19,0.3,10,101319,102112,101786,305217
39,0.34,16,101294,101967,101954,305215
69,0.3,10,101145,102153,101910,305208
199,0.38,20,101392,102078,101732,305202
