PEPPER_HISTORY_LENGTH,PEPPER_MUST_SELL_BUY_COEFF,PEPPER_ALPHA,day_-2_profit,day_-1_profit,day_0_profit,total_profit,"metric(min(day_-2_profit, day_-1_profit, day_0_profit))"
34,0.37,10,101533,102254,102003,305790,101533
39,0.375,11,101530,102246,102029,305805,101530
39,0.355,9,101526,102355,102074,305955,101526
39,0.36,9,101526,102314,102046,305886,101526
39,0.365,10,101526,102314,102029,305869,101526
39,0.37,10,101526,102336,102004,305866,101526
19,0.42,14,101524,102041,101902,305467,101524
39,0.375,12,101514,102274,101963,305751,101514
34,0.37,11,101514,102192,102020,305726,101514
34,0.38,11,101514,102210,101957,305681,101514
129,0.36,14,101514,102236,101910,305660,101514
99,0.38,15,101513,102167,101946,305626,101513
39,0.38,12,101511,102253,101990,305754,101511
99,0.36,13,101509,102279,101969,305757,101509
29,0.46,17,101509,102136,101899,305544,101509
39,0.345,8,101506,102379,101986,305871,101506
39,0.35,9,101505,102362,102069,305936,101505
34,0.36,10,101505,102271,102024,305800,101505
29,0.4,13,101502,102120,101885,305507,101502
39,0.36,10,101501,102377,102024,305902,101501
