day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
-1,0,PICNIC_BASKET2,30606,20,30605,18,,,30612,20,30613,18,,,30609
-1,100,PICNIC_BASKET2,30610,17,30609,20,,,30616,37,,,,,30613
-1,200,PICNIC_BASKET2,30612,13,30611,20,,,30618,33,,,,,30615
-1,300,PICNIC_BASKET2,30618,2,30617,41,,,30623,19,30624,24,,,30620.5
-1,400,PICNIC_BASKET2,30620,2,30619,43,,,30622,6,30625,17,30626,28,30621
-1,500,PICNIC_BASKET2,30623,6,30618,13,30617,17,30624,30,,,,,30623.5
-1,600,PICNIC_BASKET2,30624,6,30622,14,30621,30,30628,44,,,,,30626
-1,700,PICNIC_BASKET2,30626,2,30621,12,30620,19,30627,31,,,,,30626.5
-1,800,PICNIC_BASKET2,30618,1,30617,34,,,30623,14,30624,21,,,30620.5
-1,900,PICNIC_BASKET2,30620,1,30619,38,,,30625,14,30626,25,,,30622.5
-1,1000,PICNIC_BASKET2,30621,41,,,,,30628,41,,,,,30624.5
-1,1100,PICNIC_BASKET2,30618,2,30617,36,,,30623,2,30624,36,,,30620.5
-1,1200,PICNIC_BASKET2,30619,46,,,,,30626,46,,,,,30622.5
-1,1300,PICNIC_BASKET2,30617,18,30616,15,,,30622,1,30623,32,,,30619.5
-1,1400,PICNIC_BASKET2,30622,18,30621,24,,,30627,1,30628,41,,,30624.5
-1,1500,PICNIC_BASKET2,30619,34,,,,,30626,34,,,,,30622.5
-1,1600,PICNIC_BASKET2,30618,18,30617,19,,,30624,37,,,,,30621
-1,1700,PICNIC_BASKET2,30615,2,30614,29,,,30620,2,30621,29,,,30617.5
-1,1800,PICNIC_BASKET2,30614,1,30613,47,,,30619,21,30620,27,,,30616.5
-1,1900,PICNIC_BASKET2,30610,17,30609,17,,,30615,1,30616,33,,,30612.5
-1,2000,PICNIC_BASKET2,30609,2,30608,42,,,30614,16,30615,28,,,30611.5
-1,2100,PICNIC_BASKET2,30608,2,30607,37,,,30613,17,30614,22,,,30610.5
-1,2200,PICNIC_BASKET2,30608,41,,,,,30614,21,30615,20,,,30611
-1,2300,PICNIC_BASKET2,30606,2,30605,40,,,30608,2,30611,2,30612,40,30607
-1,2400,PICNIC_BASKET2,30605,19,30604,24,,,30611,43,,,,,30608
-1,2500,PICNIC_BASKET2,30603,19,30602,16,,,30609,19,30610,16,,,30606
-1,2600,PICNIC_BASKET2,30605,12,30604,26,,,30611,38,,,,,30608
-1,2700,PICNIC_BASKET2,30607,33,,,,,30613,17,30614,16,,,30610
-1,2800,PICNIC_BASKET2,30605,47,,,,,30612,47,,,,,30608.5
-1,2900,PICNIC_BASKET2,30607,1,30606,38,,,30612,1,30613,38,,,30609.5
-1,3000,PICNIC_BASKET2,30609,10,30608,29,,,30615,39,,,,,30612
