timestamp,bidPrice,askPrice,transportFees,exportTariff,importTariff,sugarPrice,sunlightIndex,
0,657,658.5,1.4,10.5,-4,209,65,657.75
100,660.5,662,1.4,10.5,-4,209.2992987,65,661.25
200,664,665.5,1.4,10.5,-4,209.4671132,65,664.75
300,669,670.5,1.4,10.5,-4,209.5255919,65,669.75
400,673.5,675,1.4,10.5,-4,209.5973329,65,674.25
500,672.5,674,1.4,10.5,-4,209.66678,65.01,673.25
600,669.5,671,1.4,10.5,-4,209.5327927,65.01,670.25
700,668.5,670,1.4,10.5,-4,209.5338756,65.01,669.25
800,665.5,667,1.4,10.5,-4,209.5169094,65.01,666.25
900,665.5,667,1.4,10.5,-4,209.3560523,65.01,666.25
1000,664,665.5,1.4,10.5,-4,209.4340189,65.01,664.75
1100,661.5,663,1.4,10.5,-4,209.2011393,65.01,662.25
1200,664.5,666,1.4,10.5,-4,209.3916019,65.02,665.25
1300,667,668.5,1.4,10.5,-4,209.3889703,65.02,667.75
1400,663.5,665,1.4,10.5,-4,209.1954123,65.02,664.25
1500,663,665,1.4,10.5,-4,209.0182214,65.02,664
1600,663,664.5,1.4,10.5,-4,209.1490887,65.02,663.75
1700,666,667.5,1.4,10.5,-4,209.5967505,65.02,666.75
1800,669,670.5,1.4,10.5,-4,209.7395613,65.02,669.75
1900,666.5,668,1.4,10.5,-4,209.4790971,65.02,667.25
2000,669.5,671,1.4,10.5,-4,209.6837948,65.03,670.25
2100,670.5,672,1.4,10.5,-4,209.6472945,65.03,671.25
2200,672.5,674,1.4,10.5,-4,209.6533168,65.03,673.25
2300,673.5,675,1.4,10.5,-4,209.6901556,65.03,674.25
2400,678.5,680,1.4,10.5,-4,209.8933552,65.03,679.25
2500,677,678.5,1.4,10.5,-4,209.7634125,65.03,677.75
2600,677,678.5,1.4,10.5,-4,209.8947533,65.03,677.75
2700,677.5,679,1.4,10.5,-4,209.9774111,65.03,678.25
2800,678.5,680,1.4,10.5,-4,210.3745227,65.04,679.25
2900,675,676.5,1.4,10.5,-4,210.1606624,65.04,675.75
3000,674.5,676,1.4,10.5,-4,210.2697456,65.04,675.25
3100,676,677.5,1.4,10.5,-4,210.6334902,65.04,676.75
3200,670,671.5,1.4,10.5,-4,210.4437177,65.04,670.75
3300,667.5,669,1.4,10.5,-4,210.2534485,65.04,668.25
3400,667.5,669,1.4,10.5,-4,210.2864276,65.04,668.25
3500,667.5,669,1.4,10.5,-4,209.967396,65.04,668.25
3600,669.5,671,1.4,10.5,-4,210.0032506,65.04,670.25
3700,670.5,672,1.4,10.5,-4,210.1177632,65.05,671.25
3800,670.5,672,1.4,10.5,-4,210.1215336,65.05,671.25
3900,670.5,672,1.4,10.5,-4,209.9491868,65.05,671.25
4000,670.5,672,1.4,10.5,-4,209.8046617,65.05,671.25
4100,675,676.5,1.4,10.5,-4,209.8219527,65.05,675.75
4200,677.5,679,1.4,10.5,-4,209.955194,65.05,678.25
4300,678,679.5,1.4,10.5,-4,209.8192396,65.05,678.75
4400,675,676.5,1.4,10.5,-4,209.7268226,65.06,675.75
4500,674.5,676.5,1.4,10.5,-4,209.8701653,65.06,675.5
4600,681,682.5,1.4,10.5,-4,210.2076933,65.06,681.75
4700,678,679.5,1.4,10.5,-4,210.0246493,65.06,678.75
4800,683,684.5,1.5,10.5,-4,210.145576,65.06,683.75
