symbol,person,pnl_ratio,pos_rate,max_pos,min_pos,cleared_pnl,positions_all,pos_positions,neg_positions
CROISSANTS,Caesar,1.44,0.64,5307.00,0.00,27879.00,19338.00,12299.00,7039.00
CROISSANTS,Olivia,28.83,0.50,3.00,0.00,519.00,18.00,9.00,9.00
CROISSANTS,Camilla,-6.24,0.00,0.00,-4189.00,-29093.00,4662.00,21.00,4641.00
CROISSANTS,Paris,-1.54,0.48,72.00,-761.00,-22572.00,14700.00,7030.00,7670.00
RAINFOREST_RESIN,Caesar,-6.72,0.50,3.00,-99.00,-9047.50,1347.00,675.00,672.00
RAINFOREST_RESIN,Gary,-6.44,0.48,39.00,-125.00,-17168.50,2667.00,1280.00,1387.00
RAINFOREST_RESIN,Gina,-6.43,0.45,36.00,-225.00,-12706.50,1977.00,890.00,1087.00
RAINFOREST_RESIN,Camilla,-7.00,0.51,24.00,-68.00,-6079.00,868.00,446.00,422.00
RAINFOREST_RESIN,Pablo,-6.82,0.50,161.00,-106.00,-37979.00,5568.00,2784.00,2784.00
RAINFOREST_RESIN,Penelope,-7.03,0.52,261.00,-41.00,-38766.50,5513.00,2860.00,2653.00
RAINFOREST_RESIN,Charlie,-6.78,0.50,312.00,-13.00,-106187.50,15669.00,7868.00,7801.00
RAINFOREST_RESIN,Paris,-6.68,0.50,21.00,-59.00,-22671.50,3395.00,1699.00,1696.00
JAMS,Caesar,5.72,0.66,7845.00,-2.00,141339.00,24719.00,16280.00,8439.00
JAMS,Camilla,-22.96,0.02,0.00,-7212.00,-177402.00,7727.00,116.00,7611.00
JAMS,Paris,-0.23,0.49,29.00,-397.00,-4030.00,17524.00,8589.00,8935.00
KELP,Caesar,7.90,0.30,0.00,-807.00,15648.00,1980.00,587.00,1393.00
KELP,Gary,-2.82,0.52,340.00,-50.00,-14642.00,5188.00,2687.00,2501.00
KELP,Olivia,8.33,0.50,0.00,-2.00,750.00,90.00,45.00,45.00
KELP,Camilla,0.09,0.47,3.00,-176.00,271.00,3188.00,1506.00,1682.00
KELP,Pablo,8.06,0.30,0.00,-1127.00,22837.00,2834.00,854.00,1980.00
KELP,Olga,31.50,0.00,0.00,0.00,283.50,9.00,0.00,9.00
KELP,Penelope,-1.42,0.51,330.00,-178.00,-10138.00,7150.00,3617.00,3533.00
KELP,Gina,9.44,0.25,17.00,-1248.00,24697.50,2615.00,665.00,1950.00
KELP,Charlie,-5.66,0.59,3839.00,-25.00,-114972.50,20325.00,12073.00,8252.00
KELP,Paris,1.16,0.45,11.00,-689.00,7550.50,6497.00,2904.00,3593.00
SQUID_INK,Caesar,-7.24,0.30,0.00,-810.00,-14499.00,2002.00,596.00,1406.00
SQUID_INK,Gary,-2.77,0.52,379.00,-57.00,-14415.50,5211.00,2718.00,2493.00
SQUID_INK,Olivia,81.00,0.50,15.00,0.00,7290.00,90.00,45.00,45.00
SQUID_INK,Camilla,-1.97,0.46,1.00,-242.00,-6668.00,3392.00,1575.00,1817.00
SQUID_INK,Penelope,-0.71,0.51,361.00,-161.00,-5118.00,7192.00,3654.00,3538.00
SQUID_INK,Pablo,-9.54,0.28,0.00,-1248.00,-27065.00,2836.00,795.00,2041.00
SQUID_INK,Gina,-9.57,0.22,2.00,-1405.00,-24495.50,2559.00,564.00,1995.00
SQUID_INK,Charlie,2.17,0.60,4141.00,-32.00,44260.50,20433.00,12282.00,8151.00
SQUID_INK,Paris,-3.73,0.44,7.00,-742.00,-24024.50,6447.00,2852.00,3595.00
PICNIC_BASKET1,Caesar,10.39,0.57,226.00,-10.00,16025.50,1543.00,883.00,660.00
PICNIC_BASKET1,Camilla,2.76,0.58,680.00,-31.00,11520.00,4176.00,2421.00,1755.00
PICNIC_BASKET1,Pablo,-28.70,0.33,7.00,-935.00,-80447.50,2803.00,936.00,1867.00
PICNIC_BASKET1,Charlie,-18.47,0.66,61.00,0.00,-3601.50,195.00,128.00,67.00
PICNIC_BASKET1,Penelope,0.74,0.50,50.00,-85.00,2296.50,3091.00,1536.00,1555.00
PICNIC_BASKET2,Caesar,-4.83,0.49,13.00,-33.00,-5130.50,1063.00,523.00,540.00
PICNIC_BASKET2,Camilla,56.74,0.60,848.00,-11.00,228708.50,4031.00,2434.00,1597.00
PICNIC_BASKET2,Pablo,-144.39,0.24,7.00,-1330.00,-376706.50,2609.00,638.00,1971.00
PICNIC_BASKET2,Charlie,61.34,0.62,517.00,-6.00,128638.50,2097.00,1302.00,795.00
PICNIC_BASKET2,Penelope,-2.82,0.50,60.00,-110.00,-12166.00,4312.00,2159.00,2153.00
MAGNIFICENT_MACARONS,Caesar,20.37,0.95,1891.00,0.00,42636.50,2093.00,1992.00,101.00
MAGNIFICENT_MACARONS,Camilla,9.50,0.55,36.00,0.00,2118.50,223.00,122.00,101.00
MAGNIFICENT_MACARONS,Charlie,-33.90,0.03,0.00,-1769.00,-66788.00,1970.00,58.00,1912.00
MAGNIFICENT_MACARONS,Paris,-2.79,0.49,134.00,-80.00,-10969.00,3938.00,1940.00,1998.00
DJEMBES,Caesar,14.22,0.60,2196.00,-1.00,151221.00,10632.00,6408.00,4224.00
DJEMBES,Camilla,-72.70,0.00,0.00,-1479.00,-161767.50,2225.00,1.00,2224.00
