symbol,person,pnl_ratio,max_pos,min_pos,cleared_pnl,positions_all,pos_positions,neg_positions,mult_pos,mult_neg
CROISSANTS,Camilla,7.28,250.00,-140.82,15279.61,2098.10,1049.05,1049.05,49.95,0.23
CROISSANTS,Olivia,28.83,250.00,0.00,43250.00,1500.00,750.00,750.00,83.33,83.33
CROISSANTS,Caesar,0.32,250.00,-53.20,2508.72,7951.49,3975.75,3975.75,0.32,0.56
CROISSANTS,Paris,-1.36,98.23,-250.00,-12981.10,9523.86,4761.93,4761.93,0.68,0.62
RAINFOREST_RESIN,Charlie,-6.76,50.00,-14.22,-19336.51,2861.36,1430.68,1430.68,0.18,0.18
RAINFOREST_RESIN,Pablo,-6.82,50.00,-32.92,-11794.72,1729.19,864.60,864.60,0.31,0.31
RAINFOREST_RESIN,Gary,-6.62,40.83,-50.00,-9357.25,1413.44,706.72,706.72,0.55,0.51
RAINFOREST_RESIN,Camilla,-6.87,0.64,-50.00,-3580.23,521.19,260.59,260.59,0.58,0.62
RAINFOREST_RESIN,Penelope,-6.86,30.64,-50.00,-17842.34,2599.27,1299.63,1299.63,0.45,0.49
RAINFOREST_RESIN,Caesar,-6.71,0.50,-50.00,-4527.50,675.09,337.55,337.55,0.50,0.50
RAINFOREST_RESIN,Gina,-6.89,40.67,-50.00,-6701.92,973.41,486.70,486.70,0.55,0.45
RAINFOREST_RESIN,Paris,-6.67,15.45,-50.00,-18899.27,2831.78,1415.89,1415.89,0.83,0.83
JAMS,Paris,0.22,254.47,-350.00,5962.84,27732.21,13866.11,13866.11,1.61,1.55
JAMS,Camilla,-2.08,287.25,-350.00,-11926.14,5738.18,2869.09,2869.09,24.73,0.38
JAMS,Caesar,-1.56,350.00,-197.04,-53874.12,34474.62,17237.31,17237.31,1.06,2.04
KELP,Charlie,-1.14,15.40,-50.00,-1917.85,1680.64,840.32,840.32,0.07,0.10
KELP,Penelope,-1.13,50.00,-41.03,-1357.63,1199.70,599.85,599.85,0.17,0.17
KELP,Olivia,8.33,0.00,-50.00,18750.00,2250.00,1125.00,1125.00,25.00,25.00
KELP,Gina,-2.65,50.00,-12.34,-2602.44,981.53,490.77,490.77,0.74,0.25
KELP,Olga,31.50,0.00,0.00,283.50,9.00,0.00,9.00,1.00,1.00
KELP,Paris,-1.39,49.10,-50.00,-9452.15,6786.34,3393.17,3393.17,1.17,0.94
KELP,Pablo,-1.48,50.00,-36.82,-2366.99,1602.01,801.00,801.00,0.94,0.40
KELP,Gary,-1.96,50.00,-21.48,-2420.56,1234.07,617.03,617.03,0.23,0.25
KELP,Camilla,-1.25,50.00,-40.39,-3183.66,2537.15,1268.58,1268.58,0.84,0.75
KELP,Caesar,-2.05,50.00,-6.41,-2990.01,1461.78,730.89,730.89,1.25,0.52
SQUID_INK,Charlie,-1.20,16.71,-50.00,-1972.16,1648.05,824.03,824.03,0.07,0.10
SQUID_INK,Pablo,-0.91,50.00,-8.13,-1027.85,1135.73,567.87,567.87,0.71,0.28
SQUID_INK,Gary,-3.56,50.00,-16.24,-3845.18,1079.17,539.59,539.59,0.20,0.22
SQUID_INK,Camilla,-0.61,35.17,-50.00,-1724.09,2836.11,1418.05,1418.05,0.90,0.78
SQUID_INK,Penelope,-0.96,50.00,-40.06,-1085.24,1135.30,567.65,567.65,0.16,0.16
SQUID_INK,Caesar,-1.54,50.00,-35.85,-1963.14,1273.56,636.78,636.78,1.07,0.45
SQUID_INK,Gina,1.02,50.00,-21.26,1804.17,1761.59,880.79,880.79,1.56,0.44
SQUID_INK,Olivia,81.00,50.00,0.00,24300.00,300.00,150.00,150.00,3.33,3.33
SQUID_INK,Paris,-1.86,50.00,-42.17,-11427.79,6152.82,3076.41,3076.41,1.08,0.86
PICNIC_BASKET1,Charlie,-31.25,35.43,-60.00,-14998.91,480.00,240.00,240.00,1.88,3.58
PICNIC_BASKET1,Pablo,-3.64,60.00,-39.87,-9476.10,2601.27,1300.64,1300.64,1.39,0.70
PICNIC_BASKET1,Penelope,1.14,46.82,-60.00,2618.25,2302.52,1151.26,1151.26,0.75,0.74
PICNIC_BASKET1,Camilla,-8.75,48.73,-60.00,-19941.92,2278.27,1139.13,1139.13,0.47,0.65
PICNIC_BASKET1,Caesar,0.39,38.23,-60.00,1021.32,2615.81,1307.90,1307.90,1.48,1.98
PICNIC_BASKET2,Charlie,-6.16,41.23,-100.00,-12350.29,2004.30,1002.15,1002.15,0.77,1.26
PICNIC_BASKET2,Pablo,-3.82,100.00,-92.41,-15177.03,3974.77,1987.39,1987.39,3.12,1.01
PICNIC_BASKET2,Penelope,-3.20,50.24,-100.00,-12391.55,3867.93,1933.97,1933.97,0.90,0.90
PICNIC_BASKET2,Camilla,0.30,100.00,-16.80,747.85,2477.75,1238.88,1238.88,0.51,0.78
PICNIC_BASKET2,Caesar,-0.44,97.97,-100.00,-1603.22,3678.54,1839.27,1839.27,3.52,3.41
MAGNIFICENT_MACARONS,Charlie,-6.75,69.69,-75.00,-12460.12,1846.22,923.11,923.11,15.92,0.48
MAGNIFICENT_MACARONS,Camilla,5.96,75.00,-4.66,3979.85,667.26,333.63,333.63,2.73,3.30
MAGNIFICENT_MACARONS,Caesar,-13.99,48.28,-75.00,-15914.07,1137.41,568.70,568.70,0.29,5.63
MAGNIFICENT_MACARONS,Paris,-2.34,75.00,-11.47,-4104.79,1753.73,876.87,876.87,0.45,0.44
DJEMBES,Paris,-0.66,60.00,-8.29,-1883.91,2834.91,1417.46,1417.46,0.34,0.34
DJEMBES,Camilla,-14.63,60.00,0.00,-5247.34,358.71,179.35,179.35,179.35,0.08
DJEMBES,Caesar,0.42,6.80,-60.00,1007.07,2412.42,1206.21,1206.21,0.19,0.29
VOLCANIC_ROCK_VOUCHER_10000,Pablo,-13.56,154.90,-200.00,-22342.55,1647.24,823.62,823.62,31.68,0.22
VOLCANIC_ROCK_VOUCHER_10000,Camilla,13.49,40.13,-200.00,32976.29,2443.95,1221.97,1221.97,0.04,0.37
VOLCANIC_ROCK_VOUCHER_10000,Penelope,-2.23,113.97,-200.00,-16739.02,7489.93,3744.97,3744.97,1.08,0.98
VOLCANIC_ROCK_VOUCHER_10000,Caesar,-9.08,200.00,-31.97,-25268.90,2782.98,1391.49,1391.49,6.16,0.07
